#Endometrioid_291_IP Enhancers
#Created from /media/abraaodem/Data01/Marcos/MTF/histologies/RoseRes/Endometrioid_291_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by Endometrioid_291_IP.nodup.bam
#Using cutoff of 7841.5832 for Super-Enhancers
#Created on Oct 18 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Endometrioid_291_IP.nodup.bam	Endometrioid_291_Input.nodup.bam	enhancerRank	isSuper
25_Peak_30330_lociStitched	chr9	132163079	132265780	25	57942	103748.5502	12806.8147	1	1
25_Peak_85586_lociStitched	chr14	77460061	77591944	25	63904	91553.1786	14915.9673	2	1
20_Peak_3121_lociStitched	chr5	131744663	131836343	20	58510	80705.904	10176.48	3	1
40_Peak_54198_lociStitched	chr3	32432456	32548717	40	64964	79301.6281	12625.9446	4	1
7_Peak_12773_lociStitched	chr5	180211666	180260862	7	35600	70734.0088	6434.8368	5	1
13_Peak_36630_lociStitched	chr3	169317464	169397479	13	27315	79286.8635	18563.48	6	1
28_Peak_69911_lociStitched	chr5	139013079	139091684	28	55355	67946.162	8049.152	7	1
21_Peak_54014_lociStitched	chr1	118139069	118237561	21	64313	68776.9636	11365.9768	8	1
6_Peak_160_lociStitched	chr10	77153774	77199983	6	26656	59886.864	4787.2524	9	1
3_Peak_16647_lociStitched	chr1	234734125	234769204	3	22679	58424.0745	4153.3536	10	1
24_Peak_29406_lociStitched	chr12	46745638	46850674	24	49332	63357.7152	11869.068	11	1
18_Peak_40974_lociStitched	chr3	177038845	177112949	18	32213	66352.7216	15969.412	12	1
7_Peak_3865_lociStitched	chr20	45943237	45990476	7	25792	54263.4393	5092.3642	13	1
34_Peak_19006_lociStitched	chr9	134470002	134616024	34	54647	68177.6718	20516.091	14	1
12_Peak_9611_lociStitched	chr3	141079886	141133702	12	40356	51496.5304	6086.5896	15	1
33_Peak_7973_lociStitched	chr14	70077148	70194337	33	53891	56672.6004	12703.2876	16	1
13_Peak_10023_lociStitched	chr17	80548926	80613853	13	31876	52792.1437	9297.5464	17	1
22_Peak_34329_lociStitched	chr15	40336916	40408873	22	47253	51060.6872	7577.0721	18	1
3_Peak_29775_lociStitched	chr2	66652900	66678504	3	17279	45132.1708	2634.6516	19	1
32_Peak_13487_lociStitched	chr17	76305149	76418511	32	48579	54504.4496	12073.053	20	1
13_Peak_3084_lociStitched	chr1	203236548	203298325	13	38506	48785.2969	6486.585	21	1
Peak_44	chr11	65183307	65199296	1	15990	43093.5528	2059.3832	22	1
1_Peak_303_lociStitched	chr1	150531243	150553182	1	21940	43022.379	2652.4251	23	1
28_Peak_8105_lociStitched	chr14	91783041	91885664	28	48370	49823.4665	10559.9067	24	1
14_Peak_1411_lociStitched	chr1	201976670	202057203	14	38316	46387.008	7803.6477	25	1
25_Peak_71465_lociStitched	chr14	65748407	65840106	25	49221	48114.4653	9610.0552	26	1
14_Peak_45809_lociStitched	chr8	95953437	96003750	14	26674	49789.7448	11431.1136	27	1
4_Peak_544_lociStitched	chr19	12876731	12907922	4	19389	41452.839	3225.1494	28	1
10_Peak_53_lociStitched	chr3	176887949	176934209	10	22998	48198.294	10149.444	29	1
Peak_65	chr12	12866255	12879961	1	13707	39565.1102	1646.0906	30	1
23_Peak_15510_lociStitched	chr9	132745760	132817229	23	37676	48527.451	10613.1465	31	1
26_Peak_64481_lociStitched	chr22	23198196	23298007	26	46846	44056.5754	6467.7528	32	1
8_Peak_18076_lociStitched	chr15	93344542	93393242	8	23989	42919.31	5581.02	33	1
21_Peak_37495_lociStitched	chr10	61595187	61671671	21	38700	46226.9296	8918.0344	34	1
13_Peak_5334_lociStitched	chr20	52194650	52241648	13	30955	41353.5402	4102.9254	35	1
19_Peak_28374_lociStitched	chr8	123785617	123876662	19	27298	54390.283	17325.8635	36	1
26_Peak_44062_lociStitched	chr19	39125401	39228362	26	45571	47485.6132	10780.0167	37	1
15_Peak_275_lociStitched	chr10	104359450	104455803	15	28736	45680.9573	9192.0762	38	1
27_Peak_24614_lociStitched	chr17	76692065	76782321	27	42241	46671.3776	10216.9792	39	1
27_Peak_35624_lociStitched	chr12	6304383	6404281	27	43595	46622.3966	10269.5144	40	1
18_Peak_24076_lociStitched	chr20	30249256	30316110	18	40709	43742.5722	7420.794	41	1
3_Peak_16281_lociStitched	chr10	119296998	119314206	3	16477	38120.8824	1949.6664	42	1
31_Peak_61322_lociStitched	chr7	55566505	55641537	31	48191	44118.816	7998.4112	43	1
Peak_220	chr11	65256931	65276556	1	19626	37931.2	2131.275	44	1
27_Peak_50000_lociStitched	chr16	81812408	81876845	27	44628	40401.999	4639.464	45	1
15_Peak_51268_lociStitched	chr12	48191854	48232035	15	33222	39646.5927	4126.5887	46	1
34_Peak_55843_lociStitched	chr22	36747385	36864176	34	46118	43130.9163	7813.3179	47	1
17_Peak_18757_lociStitched	chr22	29181150	29226091	17	38124	38613.3072	3415.516	48	1
7_Peak_13532_lociStitched	chr12	125391159	125445241	7	17752	40615.582	5527.1804	49	1
2_Peak_323_lociStitched	chr3	156874803	156895192	2	9349	40017.4903	5278.7121	50	1
27_Peak_13911_lociStitched	chr5	156906282	157039446	27	49591	48418.4304	13822.4232	51	1
21_Peak_2551_lociStitched	chr10	74004170	74097132	21	34034	43738.621	9519.3088	52	1
12_Peak_39398_lociStitched	chr19	13259446	13299067	12	23981	37739.0025	4084.9251	53	1
10_Peak_16067_lociStitched	chr14	69245838	69286642	10	21573	37886.514	4345.626	54	1
