REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Endometrioid_291_IP.nodup.bam	Endometrioid_291_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
25_Peak_30330_lociStitched	chr9	132163079	132265780	25	57942	103748.5502	12806.8147	1			C9orf106	1	1	ENSG00000204054	LINC00963	118.640444822809	2
25_Peak_85586_lociStitched	chr14	77460061	77591944	25	63904	91553.1786	14915.9673	2	KIAA1737,C14orf4	ZDHHC22	C14orf4	2	1	ENSG00000119669	IRF2BPL	27.3042961944847	1
20_Peak_3121_lociStitched	chr5	131744663	131836343	20	58510	80705.904	10176.48	3	C5orf56,IRF1	SLC22A5,IL5,MIR3936	IRF1	3	1	ENSG00000125347	IRF1	37.9680887497992	1
40_Peak_54198_lociStitched	chr3	32432456	32548717	40	64964	79301.6281	12625.9446	4	CMTM6,CMTM7		CMTM6	4	1	ENSG00000091317	CMTM6	125.354011613799	1
7_Peak_12773_lociStitched	chr5	180211666	180260862	7	35600	70734.0088	6434.8368	5	LOC729678,MGAT1	OR2Y1,MGAT1,ZFP62	MGAT1	5	1	ENSG00000131446	MGAT1	47.7404473399267	1
13_Peak_36630_lociStitched	chr3	169317464	169397479	13	27315	79286.8635	18563.48	6	MECOM		MECOM	6	1	ENSG00000085276	MECOM	142.886357263455	1
28_Peak_69911_lociStitched	chr5	139013079	139091684	28	55355	67946.162	8049.152	7	CXXC5		CXXC5	7	1	ENSG00000171604	CXXC5	44.7229510821834	1
21_Peak_54014_lociStitched	chr1	118139069	118237561	21	64313	68776.9636	11365.9768	8	FAM46C		FAM46C	8	1	ENSG00000183508	TENT5C	9.24797758290234	1
6_Peak_160_lociStitched	chr10	77153774	77199983	6	26656	59886.864	4787.2524	9	NCRNA00245,ZNF503		NCRNA00245	9	1	ENSG00000165655	ZNF503	41.4255538298821	1
3_Peak_16647_lociStitched	chr1	234734125	234769204	3	22679	58424.0745	4153.3536	10	IRF2BP2,NCRNA00184		IRF2BP2	10	1	ENSG00000168264	IRF2BP2	93.3315632379749	1
24_Peak_29406_lociStitched	chr12	46745638	46850674	24	49332	63357.7152	11869.068	11	SLC38A2		SLC38A2	11	1	ENSG00000134294	SLC38A2	127.548348029158	1
18_Peak_40974_lociStitched	chr3	177038845	177112949	18	32213	66352.7216	15969.412	12			TBL1XR1	12	1	ENSG00000177565	TBL1XR1	161.066095814278	1
7_Peak_3865_lociStitched	chr20	45943237	45990476	7	25792	54263.4393	5092.3642	13	ZMYND8,LOC100131496	ZMYND8	ZMYND8	13	1	ENSG00000101040	ZMYND8	90.8370429689026	1
34_Peak_19006_lociStitched	chr9	134470002	134616024	34	54647	68177.6718	20516.091	14	RAPGEF1		RAPGEF1	14	1	ENSG00000107263	RAPGEF1	30.2108168438422	1
