#Endometrioid_703_IP Enhancers
#Created from /media/abraaodem/Data01/Marcos/MTF/histologies/RoseRes/Endometrioid_703_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by Endometrioid_703_IP.nodup.bam
#Using cutoff of 15472.1808 for Super-Enhancers
#Created on Oct 18 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Endometrioid_703_IP.nodup.bam	Endometrioid_703_Input.nodup.bam	enhancerRank	isSuper
53_Peak_71303_lociStitched	chr17	75265871	75491421	53	145815	204731.735	20750.6	1	1
25_Peak_106179_lociStitched	chr9	132140073	132265554	25	85241	186715.728	12021.0798	2	1
35_Peak_9532_lociStitched	chr17	76237943	76421469	35	102540	176643.775	17159.681	3	1
49_Peak_40012_lociStitched	chr14	77370328	77591517	49	98597	166511.0792	21388.9763	4	1
53_Peak_37274_lociStitched	chr5	172140298	172358578	53	108630	163142.472	22111.764	5	1
42_Peak_21522_lociStitched	chr22	36699226	36866682	42	112912	146406.7808	16243.232	6	1
18_Peak_55345_lociStitched	chr2	232467621	232577640	18	58310	136291.5372	10275.7746	7	1
42_Peak_35305_lociStitched	chr2	43327579	43504818	42	77072	136580.3734	17263.0786	8	1
55_Peak_24470_lociStitched	chr22	46751620	47031513	55	103023	135272.2869	24490.6375	9	1
22_Peak_1868_lociStitched	chr10	74002288	74109557	22	62423	121213.97	10812.7152	10	1
27_Peak_53545_lociStitched	chr17	55937358	56035137	27	66926	117325.0221	9093.447	11	1
32_Peak_85474_lociStitched	chr3	14358598	14515384	32	83917	121038.792	15882.4218	12	1
26_Peak_51936_lociStitched	chr19	39125468	39228257	26	79615	113396.8248	10001.3697	13	1
Peak_393	chr19	1243741	1277297	1	33557	105926.2252	3221.376	14	1
33_Peak_75727_lociStitched	chr1	234977115	235149134	33	69634	120671.3285	18234.014	15	1
43_Peak_30423_lociStitched	chr14	75606669	75782346	43	64858	121006.3176	18727.1682	16	1
45_Peak_30371_lociStitched	chr6	7100048	7282927	45	70067	113622.7227	17977.0057	17	1
21_Peak_57269_lociStitched	chr15	90541112	90650553	21	63825	105676.2296	10703.3298	18	1
22_Peak_57258_lociStitched	chr8	142215478	142338284	22	50369	108928.922	14184.093	19	1
17_Peak_47843_lociStitched	chr9	130247504	130339645	17	56594	102341.0087	8716.5386	20	1
54_Peak_15707_lociStitched	chr14	68967316	69173690	54	88000	114455.0204	21400.9838	21	1
26_Peak_7089_lociStitched	chr9	137215528	137349123	26	74826	103322.373	12477.773	22	1
Peak_113	chr8	145006603	145029591	1	22989	93437.0248	3013.7268	23	1
30_Peak_20486_lociStitched	chr9	139398218	139524648	30	71196	100006.13	11113.197	24	1
26_Peak_53955_lociStitched	chr1	21564192	21672911	26	58862	99967.1205	11165.4413	25	1
16_Peak_481_lociStitched	chr10	134188981	134281879	16	45793	97524.3204	8862.4692	26	1
34_Peak_33259_lociStitched	chr10	82151845	82290873	34	61140	101824.1072	13499.6188	27	1
68_Peak_11020_lociStitched	chr16	81437117	81711444	68	93037	116012.8883	27707.027	28	1
22_Peak_55911_lociStitched	chr12	6275765	6406182	22	64191	94356.6995	11672.3215	29	1
15_Peak_50700_lociStitched	chr14	74183978	74262564	15	48681	90161.7178	7685.7108	30	1
9_Peak_5428_lociStitched	chr3	50250704	50312232	9	45107	87849.6784	5974.3688	31	1
10_Peak_34857_lociStitched	chr11	118739787	118811179	10	32618	88033.4752	6303.9136	32	1
13_Peak_51066_lociStitched	chr20	45923803	45991790	13	45975	88083.9572	7118.2389	33	1
Peak_2378	chr17	46631168	46661390	1	30223	83297.8764	2659.536	34	1
18_Peak_2051_lociStitched	chr1	201974853	202057073	18	45207	87835.626	7424.466	35	1
28_Peak_22417_lociStitched	chr2	28548976	28692489	28	53128	93498.7195	14408.7052	36	1
16_Peak_72475_lociStitched	chr9	132304839	132377476	16	50557	85355.7387	6733.4499	37	1
29_Peak_10041_lociStitched	chr17	80548698	80646731	29	59423	87170.9436	9577.8241	38	1
32_Peak_74467_lociStitched	chr8	142031063	142184042	32	60506	95764.854	18785.8212	39	1
14_Peak_83822_lociStitched	chr7	5432354	5497653	14	29107	82648.9443	5713.6625	40	1
17_Peak_16728_lociStitched	chr12	124964108	125078065	17	54126	86994.7738	10609.3967	41	1
7_Peak_54804_lociStitched	chr22	50319160	50364903	7	34645	79986.2098	4464.5168	42	1
35_Peak_41830_lociStitched	chr2	240120809	240251115	35	57139	86731.6736	12874.2328	43	1
5_Peak_1168_lociStitched	chr19	12868221	12907509	5	23778	76965.192	3791.292	44	1
4_Peak_7_lociStitched	chr17	2285532	2316390	4	25749	76219.26	3107.4006	45	1
11_Peak_28577_lociStitched	chr14	69222798	69291817	11	31548	79903.2963	6819.0772	46	1
Peak_1746	chr17	46661474	46684155	1	22682	74879.0534	2097.9925	47	1
Peak_738	chr14	105931213	105958675	1	27463	75385.9362	2619.8748	48	1
34_Peak_36307_lociStitched	chr10	80823796	80964432	34	73410	83650.2928	12671.3036	49	1
43_Peak_60816_lociStitched	chr4	185203207	185339284	43	59919	83850.6474	14138.4003	50	1
17_Peak_7571_lociStitched	chr17	78991232	79072222	17	52222	76243.986	7394.387	51	1
19_Peak_46989_lociStitched	chr1	12191655	12271308	19	46268	76196.0598	7821.9246	52	1
50_Peak_82236_lociStitched	chr9	134453870	134620711	50	75111	85305.8033	17418.2004	53	1
16_Peak_23853_lociStitched	chr19	45221452	45281703	16	42219	73668.8977	5838.3219	54	1
8_Peak_2854_lociStitched	chr17	38459451	38515073	8	37616	73126.2434	5356.3986	55	1
26_Peak_98386_lociStitched	chr16	11645077	11736538	26	50016	76342.4967	9264.9993	56	1
30_Peak_12361_lociStitched	chr18	74743206	74845959	30	48307	76951.7217	10676.0367	57	1
21_Peak_5956_lociStitched	chr10	73396976	73538388	21	58839	78455.3776	13292.728	58	1
57_Peak_34446_lociStitched	chr8	8630081	8756643	57	57505	80860.4618	15845.5624	59	1
12_Peak_63495_lociStitched	chr8	11701471	11760485	12	34458	72109.2066	7447.5668	60	1
11_Peak_41676_lociStitched	chr22	50705689	50756259	11	42988	68992.651	4364.191	61	1
10_Peak_1521_lociStitched	chr9	135978455	136036983	10	39183	69911.696	5694.7744	62	1
25_Peak_11259_lociStitched	chr21	46254609	46353378	25	48642	73454.5053	9353.4243	63	1
13_Peak_1084_lociStitched	chr1	203236489	203304912	13	33754	70783.5935	6862.8269	64	1
24_Peak_50318_lociStitched	chr7	73981264	74091413	24	43992	73403.2936	9792.2461	65	1
27_Peak_26162_lociStitched	chr6	6651927	6765645	27	51398	74633.1234	11428.659	66	1
22_Peak_5012_lociStitched	chr17	48960959	49034607	22	46528	69972.9648	7585.744	67	1
9_Peak_5054_lociStitched	chr9	95843791	95907085	9	33665	68452.461	6278.7648	68	1
53_Peak_78271_lociStitched	chr11	47962824	48133701	53	67574	79030.6125	17258.577	69	1
25_Peak_660_lociStitched	chr10	104356290	104456596	25	41705	71447.9638	9749.7432	70	1
10_Peak_7057_lociStitched	chr1	43389307	43439581	10	40122	66346.5978	4846.4136	71	1
25_Peak_34332_lociStitched	chr12	52509489	52611818	25	43624	70279.5572	9444.9667	72	1
20_Peak_41285_lociStitched	chr22	31602988	31689316	20	44063	69977.4768	9150.768	73	1
27_Peak_10836_lociStitched	chr1	9330476	9445484	27	60160	71155.4496	11086.7712	74	1
28_Peak_11165_lociStitched	chr2	28806663	28919094	28	60944	71517.3591	11670.3378	75	1
6_Peak_21430_lociStitched	chr1	156045826	156100821	6	28770	64789.6095	5125.534	76	1
27_Peak_2543_lociStitched	chr5	131749791	131838732	27	41519	67586.2659	9152.0289	77	1
Peak_2747	chr17	46685089	46704667	1	19579	59654.166	1713.075	78	1
Peak_227	chr17	7735840	7750005	1	14166	58991.559	1259.2685	79	1
38_Peak_16139_lociStitched	chr14	61927773	62083471	38	50277	74735.04	17017.7914	80	1
14_Peak_45439_lociStitched	chr16	70714605	70802729	14	48171	66031.3132	8345.3428	81	1
18_Peak_27839_lociStitched	chr12	120105207	120157939	18	43243	62482.1468	5257.3804	82	1
8_Peak_3844_lociStitched	chr12	120660906	120703603	8	32783	60651.0885	4299.5879	83	1
14_Peak_19638_lociStitched	chr19	4038792	4113759	14	34341	63039.7503	7031.9046	84	1
4_Peak_23318_lociStitched	chr17	79475263	79504733	4	19442	58636.459	2764.286	85	1
41_Peak_20777_lociStitched	chr10	126295527	126430385	41	72987	69505.8132	13715.0586	86	1
35_Peak_43634_lociStitched	chr1	41283750	41421742	35	55320	68388.8352	12722.8624	87	1
11_Peak_2663_lociStitched	chr16	66541307	66589442	11	27721	60337.2225	4967.532	88	1
17_Peak_12609_lociStitched	chr19	18570759	18633094	17	46519	61250.371	5977.9265	89	1
16_Peak_24823_lociStitched	chr1	36808569	36887254	16	34400	62688.3395	7616.708	90	1
26_Peak_9454_lociStitched	chr8	101423899	101524659	26	44851	67871.936	12987.964	91	1
28_Peak_49028_lociStitched	chr21	44752124	44890976	28	51837	67065.516	12330.0576	92	1
8_Peak_735_lociStitched	chr8	55358262	55391089	8	14866	58839.1148	4123.0712	93	1
8_Peak_5041_lociStitched	chr11	1214329	1285400	8	40128	60268.208	5898.893	94	1
14_Peak_12106_lociStitched	chr14	35799978	35875372	14	33703	62282.9834	7954.067	95	1
17_Peak_5073_lociStitched	chr10	80979554	81059756	17	45573	62581.6206	8324.9676	96	1
Peak_821	chr11	67034013	67060123	1	26111	56789.25	2574.446	97	1
21_Peak_31029_lociStitched	chr1	234734124	234797687	21	24315	60963.2733	6871.1603	98	1
Peak_501	chr19	39891410	39906861	1	15452	55354.7526	1406.041	99	1
15_Peak_3274_lociStitched	chr3	5007431	5069268	15	28346	59889.1345	6128.0467	100	1
34_Peak_23940_lociStitched	chr16	85007818	85120808	34	52851	64607.682	10982.628	101	1
12_Peak_1455_lociStitched	chr17	72412530	72475604	12	30219	59005.727	5556.8194	102	1
40_Peak_76392_lociStitched	chr4	40478596	40634720	40	52505	69006.808	15628.0124	103	1
Peak_448	chr22	46464749	46478150	1	13402	54601.0344	1372.2624	104	1
17_Peak_58678_lociStitched	chr9	127001942	127087797	17	45862	61661.061	8508.2305	105	1
31_Peak_112502_lociStitched	chr11	72847748	72970199	31	46791	64433.7162	11534.8842	106	1
13_Peak_8803_lociStitched	chr17	80793126	80858675	13	32059	58967.8804	6436.9118	107	1
8_Peak_26159_lociStitched	chr3	13024576	13067682	8	33649	56774.9126	4289.047	108	1
11_Peak_72171_lociStitched	chr5	180212134	180259469	11	22604	56849.335	4553.627	109	1
18_Peak_8382_lociStitched	chr17	29813412	29924623	18	41441	62700.7618	10843.0725	110	1
14_Peak_7421_lociStitched	chr17	73519983	73568420	14	35553	56012.5468	4330.2678	111	1
14_Peak_3125_lociStitched	chr16	3173540	3239920	14	31249	57690.858	6306.1	112	1
15_Peak_14195_lociStitched	chr19	9107181	9190994	15	41875	58778.0569	7450.9757	113	1
28_Peak_11943_lociStitched	chr5	167695535	167793295	28	52593	60493.888	9287.2	114	1
25_Peak_8323_lociStitched	chr1	27809712	27927500	25	44984	61720.912	10553.8048	115	1
17_Peak_11636_lociStitched	chr3	53143524	53231073	17	37532	60268.7316	9105.096	116	1
16_Peak_54476_lociStitched	chr17	76857510	76948782	16	44247	59600.616	8451.7872	117	1
Peak_938	chr17	80182916	80201592	1	18677	52770.9056	1807.8368	118	1
44_Peak_55218_lociStitched	chr14	70072646	70194236	44	49029	64041.453	13143.879	119	1
19_Peak_13278_lociStitched	chr3	46966647	47052364	19	44455	58184.6996	7894.5357	120	1
19_Peak_34214_lociStitched	chr10	95173039	95249497	19	36470	58100.4342	7829.2992	121	1
12_Peak_32070_lociStitched	chr19	33512617	33576605	12	38452	56149.47	5957.2828	122	1
18_Peak_39156_lociStitched	chr15	31611975	31664559	18	31718	55570.7712	5416.152	123	1
14_Peak_1805_lociStitched	chr10	102488423	102543385	14	32528	55005.9696	5007.0382	124	1
22_Peak_34891_lociStitched	chr12	124843408	124951425	22	46591	59020.4888	9321.8671	125	1
9_Peak_101_lociStitched	chr17	42267774	42325148	9	19946	54591.361	4997.2754	126	1
21_Peak_19139_lociStitched	chr20	48363984	48478300	21	40251	60678.9328	11202.968	127	1
24_Peak_17377_lociStitched	chr1	10783570	10876704	24	43022	57370.544	8018.8374	128	1
14_Peak_105843_lociStitched	chr2	239143005	239218581	14	27076	56364.5808	7217.508	129	1
35_Peak_76967_lociStitched	chr12	125137406	125260325	35	56224	61533.2514	12463.9866	130	1
15_Peak_63963_lociStitched	chr1	16465468	16516822	15	34976	53403.0246	4770.7866	131	1
15_Peak_43821_lociStitched	chr1	201404444	201487747	15	30615	56246.1856	7913.785	132	1
20_Peak_26594_lociStitched	chr15	99942207	100050135	20	41558	58669.6608	10350.2952	133	1
7_Peak_1494_lociStitched	chr1	205407258	205451700	7	22717	52139.3544	4066.443	134	1
Peak_183	chr11	65183336	65193647	1	10312	49119.5418	1131.1167	135	1
8_Peak_12287_lociStitched	chr1	22222664	22284853	8	41234	53376.8187	5516.1643	136	1
30_Peak_19209_lociStitched	chr17	74589000	74713533	30	49018	58953.9222	11307.5964	137	1
Peak_6	chr2	219258185	219273186	1	15002	49126.7749	1513.6009	138	1
13_Peak_60625_lociStitched	chr1	33177717	33241482	13	27736	53524.341	5962.0275	139	1
22_Peak_76236_lociStitched	chr20	30249289	30318785	22	43153	54603.0072	7123.34	140	1
Peak_749	chr19	13257225	13269014	1	11790	48611.9415	1301.5056	141	1
13_Peak_37137_lociStitched	chr10	81903832	81967973	13	27699	53795.0567	6574.4525	142	1
20_Peak_27586_lociStitched	chr19	2461671	2553221	20	36372	54975.775	7790.905	143	1
16_Peak_4953_lociStitched	chr16	27296920	27386457	16	33930	55736.7825	8640.3205	144	1
4_Peak_10539_lociStitched	chr17	39926516	39958031	4	24762	49796.8515	2937.198	145	1
7_Peak_22444_lociStitched	chr4	2787246	2817399	7	25686	49577.5626	2936.9022	146	1
16_Peak_45422_lociStitched	chr15	65127514	65197942	16	33849	53349.21	6824.4732	147	1
14_Peak_118012_lociStitched	chr22	39826844	39893037	14	35479	52643.2929	6208.9034	148	1
13_Peak_62436_lociStitched	chr19	19471590	19519013	13	32407	51060.3441	4794.4653	149	1
15_Peak_77207_lociStitched	chr5	139013184	139091369	15	41246	53228.348	7021.013	150	1
7_Peak_31811_lociStitched	chr17	72956397	73005687	7	24183	50325.09	4376.952	151	1
