REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Endometrioid_703_IP.nodup.bam	Endometrioid_703_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
53_Peak_71303_lociStitched	chr17	75265871	75491421	53	145815	204731.735	20750.6	1	SEPT9,MIR4316		SEPT9	1	1	ENSG00000184640	SEPT9	174.507218347983	1
25_Peak_106179_lociStitched	chr9	132140073	132265554	25	85241	186715.728	12021.0798	2			C9orf106	2	1	ENSG00000204054	LINC00963	118.640444822809	2
35_Peak_9532_lociStitched	chr17	76237943	76421469	35	102540	176643.775	17159.681	3	SOCS3,PGS1,DNAH17	BIRC5,EPR1,LOC283999	SOCS3	3	1	ENSG00000184557	SOCS3	54.9015144409157	1
49_Peak_40012_lociStitched	chr14	77370328	77591517	49	98597	166511.0792	21388.9763	4	KIAA1737,C14orf4	ZDHHC22	C14orf4	4	1	ENSG00000119669	IRF2BPL	27.3042961944847	1
53_Peak_37274_lociStitched	chr5	172140298	172358578	53	108630	163142.472	22111.764	5	ERGIC1,DUSP1	RPL26L1,LOC100268168	ERGIC1	5	1	ENSG00000113719	ERGIC1	182.15930024593	1
42_Peak_21522_lociStitched	chr22	36699226	36866682	42	112912	146406.7808	16243.232	6	MYH9,TXN2	FOXRED2	MYH9	6	1	ENSG00000100345	MYH9	465.858773555724	1
18_Peak_55345_lociStitched	chr2	232467621	232577640	18	58310	136291.5372	10275.7746	7	PTMA	C2orf57,PTMA,MIR1244-2	PTMA	7	1	ENSG00000187514	PTMA	922.382099240683	1
42_Peak_35305_lociStitched	chr2	43327579	43504818	42	77072	136580.3734	17263.0786	8	THADA,LOC100129726,ZFP36L2		ZFP36L2	8	1	ENSG00000152518	ZFP36L2	193.662045632807	1
55_Peak_24470_lociStitched	chr22	46751620	47031513	55	103023	135272.2869	24490.6375	9	GRAMD4,CELSR1,TRMU		CELSR1	9	1	ENSG00000075275	CELSR1	66.7390186489717	1
22_Peak_1868_lociStitched	chr10	74002288	74109557	22	62423	121213.97	10812.7152	10	DDIT4,DNAJB12	ANAPC16,ASCC1,DNAJB12	DDIT4	10	1	ENSG00000168209	DDIT4	40.8140812876661	1
27_Peak_53545_lociStitched	chr17	55937358	56035137	27	66926	117325.0221	9093.447	11	CUEDC1	MRPS23,VEZF1,SRSF1	CUEDC1	11	1	ENSG00000180891	CUEDC1	34.1576814027895	1
32_Peak_85474_lociStitched	chr3	14358598	14515384	32	83917	121038.792	15882.4218	12	SLC6A6		SLC6A6	12	1	ENSG00000131389	SLC6A6	40.2334745792865	1
26_Peak_51936_lociStitched	chr19	39125468	39228257	26	79615	113396.8248	10001.3697	13	ACTN4,CAPN12,EIF3K	LGALS7,MAP4K1	ACTN4	13	1	ENSG00000130402	ACTN4	381.617471962806	1
Peak_393	chr19	1243741	1277297	1	33557	105926.2252	3221.376	14	C19orf23,CIRBP,C19orf24,ATP5D,MIDN	ATP5D,STK11,C19orf26,EFNA2	CIRBP	14	1	ENSG00000099622	CIRBP	158.019740016491	1
33_Peak_75727_lociStitched	chr1	234977115	235149134	33	69634	120671.3285	18234.014	15			SNORA14B	15	1	ENSG00000238005		0.488103006042658	1
43_Peak_30423_lociStitched	chr14	75606669	75782346	43	64858	121006.3176	18727.1682	16	FOS,TMED10	NEK9	FOS	16	1	ENSG00000170345	FOS	208.009800545971	1
45_Peak_30371_lociStitched	chr6	7100048	7282927	45	70067	113622.7227	17977.0057	17	RREB1,SSR1	RREB1	RREB1	17	1	ENSG00000124782	RREB1	80.6283453785879	1
21_Peak_57269_lociStitched	chr15	90541112	90650553	21	63825	105676.2296	10703.3298	18	ZNF710,IDH2		IDH2	18	1	ENSG00000182054	IDH2	38.2285283644919	1
22_Peak_57258_lociStitched	chr8	142215478	142338284	22	50369	108928.922	14184.093	19	SLC45A4	GPR20,LOC731779	SLC45A4	19	1	ENSG00000022567	SLC45A4	45.0961710860966	1
17_Peak_47843_lociStitched	chr9	130247504	130339645	17	56594	102341.0087	8716.5386	20	LRSAM1,FAM129B	LRSAM1,RPL12,SNORA65,STXBP1	FAM129B	20	1	ENSG00000136830	FAM129B	92.1813888476543	1
54_Peak_15707_lociStitched	chr14	68967316	69173690	54	88000	114455.0204	21400.9838	21	RAD51L1		ZFP36L1	21	1	ENSG00000185650	ZFP36L1	374.570349120322	1
26_Peak_7089_lociStitched	chr9	137215528	137349123	26	74826	103322.373	12477.773	22	RXRA		RXRA	22	1	ENSG00000186350	RXRA	39.5523194205565	1
Peak_113	chr8	145006603	145029591	1	22989	93437.0248	3013.7268	23	PLEC,MIR661	GRINA,PARP10	PLEC	23	1	ENSG00000178209	PLEC	392.892195636502	1
30_Peak_20486_lociStitched	chr9	139398218	139524648	30	71196	100006.13	11113.197	24	NOTCH1	EGFL7,SEC16A,C9orf163,MIR126	NOTCH1	24	1	ENSG00000148400	NOTCH1	22.730962994806	1
26_Peak_53955_lociStitched	chr1	21564192	21672911	26	58862	99967.1205	11165.4413	25	ECE1		ECE1	25	1	ENSG00000117298	ECE1	89.539295974677	1
16_Peak_481_lociStitched	chr10	134188981	134281879	16	45793	97524.3204	8862.4692	26	C10orf91,PWWP2B,LRRC27	LRRC27	C10orf91	26	1	ENSG00000171813	PWWP2B	11.7718960280876	1
34_Peak_33259_lociStitched	chr10	82151845	82290873	34	61140	101824.1072	13499.6188	27	C10orf58,TSPAN14	DYDC1,SH2D4B,DYDC2	TSPAN14	27	1	ENSG00000108219	TSPAN14	118.962602892749	1
68_Peak_11020_lociStitched	chr16	81437117	81711444	68	93037	116012.8883	27707.027	28	CMIP		CMIP	28	1	ENSG00000153815	CMIP	64.1241008588561	1
22_Peak_55911_lociStitched	chr12	6275765	6406182	22	64191	94356.6995	11672.3215	29	CD9	PLEKHG6,TNFRSF1A,VWF	CD9	29	1	ENSG00000010278	CD9	57.4919348287287	1
15_Peak_50700_lociStitched	chr14	74183978	74262564	15	48681	90161.7178	7685.7108	30	C14orf43	PNMA1	C14orf43	30	1	ENSG00000156030	ELMSAN1	45.0838907166489	2
9_Peak_5428_lociStitched	chr3	50250704	50312232	9	45107	87849.6784	5974.3688	31	GNAI2,SLC38A3,SEMA3B	GNAT1,HYAL3,HYAL1,C3orf45,NAT6,HYAL2,IFRD2	GNAI2	31	1	ENSG00000114353	GNAI2	127.917817203965	1
10_Peak_34857_lociStitched	chr11	118739787	118811179	10	32618	88033.4752	6303.9136	32	CXCR5,BCL9L	UPK2,FOXR1	BCL9L	32	1	ENSG00000186174	BCL9L	51.5099097810062	1
13_Peak_51066_lociStitched	chr20	45923803	45991790	13	45975	88083.9572	7118.2389	33	ZMYND8,LOC100131496	ZMYND8	LOC100131496	33	1	ENSG00000267882		1.64218263588924	1
Peak_2378	chr17	46631168	46661390	1	30223	83297.8764	2659.536	34	HOXB3,HOXB4,MIR10A	HOXB1,LOC404266,MIR196A1,HOXB2,HOXB5,HOXB9,HOXB6,HOXB8,HOXB7	HOXB3	34	1	ENSG00000120093	HOXB3	39.1205771098268	1
18_Peak_2051_lociStitched	chr1	201974853	202057073	18	45207	87835.626	7424.466	35	RNPEP,ELF3	GPR37L1,ELF3	ELF3	35	1	ENSG00000163435	ELF3	243.043030111608	1
28_Peak_22417_lociStitched	chr2	28548976	28692489	28	53128	93498.7195	14408.7052	36	BRE,FOSL2	PLB1	FOSL2	36	1	ENSG00000075426	FOSL2	164.758793831088	1
16_Peak_72475_lociStitched	chr9	132304839	132377476	16	50557	85355.7387	6733.4499	37	C9orf50	ASB6,METTL11A	C9orf50	37	1	ENSG00000179058	C9orf50	0.889035543360276	1
29_Peak_10041_lociStitched	chr17	80548698	80646731	29	59423	87170.9436	9577.8241	38	WDR45L,FOXK2,RAB40B	FN3KRP,FN3K	WDR45L	38	1	ENSG00000141580	WDR45B	68.9022115495261	1
32_Peak_74467_lociStitched	chr8	142031063	142184042	32	60506	95764.854	18785.8212	39	DENND3	PTK2	DENND3	39	1	ENSG00000105339	DENND3	26.3761200511355	1
14_Peak_83822_lociStitched	chr7	5432354	5497653	14	29107	82648.9443	5713.6625	40	TNRC18	MIR589	TNRC18	40	1	ENSG00000182095	TNRC18	116.868664254118	1
17_Peak_16728_lociStitched	chr12	124964108	125078065	17	54126	86994.7738	10609.3967	41	NCOR2	NCOR2	NCOR2	41	1	ENSG00000196498	NCOR2	120.453952827208	1
7_Peak_54804_lociStitched	chr22	50319160	50364903	7	34645	79986.2098	4464.5168	42	CRELD2,PIM3	CRELD2,ALG12	PIM3	42	1	ENSG00000198355	PIM3	31.4552921734244	1
35_Peak_41830_lociStitched	chr2	240120809	240251115	35	57139	86731.6736	12874.2328	43	HDAC4,MIR4269	MGC16025	MIR4269	43	1	ENSG00000068024	HDAC4	21.4624624087526	2
5_Peak_1168_lociStitched	chr19	12868221	12907509	5	23778	76965.192	3791.292	44	HOOK2,JUNB,BEST2	ASNA1,RNASEH2A,PRDX2,RTBDN,TNPO2,C19orf43,MAST1	HOOK2	44	1	ENSG00000095066	HOOK2	74.3572531134399	1
4_Peak_7_lociStitched	chr17	2285532	2316390	4	25749	76219.26	3107.4006	45	MNT,LOC284009	TSR1,SGSM2	MNT	45	1	ENSG00000070444	MNT	29.0657033828155	1
11_Peak_28577_lociStitched	chr14	69222798	69291817	11	31548	79903.2963	6819.0772	46	C14orf181,ZFP36L1		ZFP36L1	46	1	ENSG00000185650	ZFP36L1	374.570349120322	1
Peak_1746	chr17	46661474	46684155	1	22682	74879.0534	2097.9925	47	HOXB6,LOC404266,HOXB5	HOXB3,MIR196A1,HOXB2,HOXB9,MIR10A,HOXB4,HOXB8,HOXB7	LOC404266	47	1	ENSG00000108511	HOXB6	20.1365327349272	1
Peak_738	chr14	105931213	105958675	1	27463	75385.9362	2619.8748	48	C14orf80,MTA1,CRIP2,CRIP1	TMEM121	CRIP2	48	1	ENSG00000182809	CRIP2	50.3602675006035	1
34_Peak_36307_lociStitched	chr10	80823796	80964432	34	73410	83650.2928	12671.3036	49	ZMIZ1,LOC283050	LOC283050	ZMIZ1	49	1	ENSG00000108175	ZMIZ1	48.9931996842572	1
43_Peak_60816_lociStitched	chr4	185203207	185339284	43	59919	83850.6474	14138.4003	50	IRF2		IRF2	50	1	ENSG00000168310	IRF2	16.806026491713	1
17_Peak_7571_lociStitched	chr17	78991232	79072222	17	52222	76243.986	7394.387	51	BAIAP2,FLJ90757	MIR1250,MIR657,CHMP6,MIR3065,MIR338	BAIAP2	51	1	ENSG00000175866	BAIAP2	28.0539533631079	1
19_Peak_46989_lociStitched	chr1	12191655	12271308	19	46268	76196.0598	7821.9246	52	TNFRSF1B,TNFRSF8	VPS13D	TNFRSF1B	52	1	ENSG00000028137	TNFRSF1B	18.4905899744948	1
50_Peak_82236_lociStitched	chr9	134453870	134620711	50	75111	85305.8033	17418.2004	53	RAPGEF1	UCK1	RAPGEF1	53	1	ENSG00000107263	RAPGEF1	30.2108168438422	1
16_Peak_23853_lociStitched	chr19	45221452	45281703	16	42219	73668.8977	5838.3219	54	CBLC,BCL3	CEACAM16,CBLC,CEACAM19,BCAM	BCL3	54	1	ENSG00000069399	BCL3	15.6007350409478	1
8_Peak_2854_lociStitched	chr17	38459451	38515073	8	37616	73126.2434	5356.3986	55	RARA	RARA,CDC6,GJD3	RARA	55	1	ENSG00000131759	RARA	12.4457086969	1
26_Peak_98386_lociStitched	chr16	11645077	11736538	26	50016	76342.4967	9264.9993	56	LITAF	SNN	LITAF	56	1	ENSG00000189067	LITAF	76.4848049274565	1
30_Peak_12361_lociStitched	chr18	74743206	74845959	30	48307	76951.7217	10676.0367	57	MBP	MBP	MBP	57	1	ENSG00000197971	MBP	25.2763529362771	1
21_Peak_5956_lociStitched	chr10	73396976	73538388	21	58839	78455.3776	13292.728	58	CDH23,C10orf105,C10orf54	CDH23	C10orf105	58	1	ENSG00000107738	VSIR	12.2107982531112	1
57_Peak_34446_lociStitched	chr8	8630081	8756643	57	57505	80860.4618	15845.5624	59	MFHAS1		MFHAS1	59	1	ENSG00000147324	MFHAS1	46.1830569103469	1
12_Peak_63495_lociStitched	chr8	11701471	11760485	12	34458	72109.2066	7447.5668	60	CTSB	FDFT1	CTSB	60	1	ENSG00000164733	CTSB	509.608778865864	1
11_Peak_41676_lociStitched	chr22	50705689	50756259	11	42988	68992.651	4364.191	61	MAPK11,PLXNB2,FAM116B	TUBGCP6,MAPK12,HDAC10,PPP6R2	PLXNB2	61	1	ENSG00000196576	PLXNB2	224.035339681892	1
10_Peak_1521_lociStitched	chr9	135978455	136036983	10	39183	69911.696	5694.7744	62	GBGT1,RALGDS	CEL,OBP2B,CELP	RALGDS	62	1	ENSG00000160271	RALGDS	47.0538754055554	1
25_Peak_11259_lociStitched	chr21	46254609	46353378	25	48642	73454.5053	9353.4243	63	ITGB2,C21orf67,PTTG1IP	C21orf70,UBE2G2,SUMO3	PTTG1IP	63	1	ENSG00000183255	PTTG1IP	193.335420361717	1
13_Peak_1084_lociStitched	chr1	203236489	203304912	13	33754	70783.5935	6862.8269	64	BTG2,LOC730227	CHIT1,LOC730227,FMOD	LOC730227	64	1	ENSG00000159388	BTG2	65.1473953359288	1
24_Peak_50318_lociStitched	chr7	73981264	74091413	24	43992	73403.2936	9792.2461	65	GTF2I,GTF2IRD1	GTF2I	GTF2I	65	1	ENSG00000263001	GTF2I	35.0467169461498	1
27_Peak_26162_lociStitched	chr6	6651927	6765645	27	51398	74633.1234	11428.659	66	LY86	LY86-AS1	LY86-AS1	66	1	ENSG00000261211		1.3902355637383	1
22_Peak_5012_lociStitched	chr17	48960959	49034607	22	46528	69972.9648	7585.744	67		WFIKKN2,TOB1	TOB1	67	1	ENSG00000141232	TOB1	56.6212575687088	1
9_Peak_5054_lociStitched	chr9	95843791	95907085	9	33665	68452.461	6278.7648	68	SUSD3,NINJ1,C9orf89	WNK2	C9orf89	68	1	ENSG00000131669	NINJ1	15.3849207403539	1
53_Peak_78271_lociStitched	chr11	47962824	48133701	53	67574	79030.6125	17258.577	69	PTPRJ		PTPRJ	69	1	ENSG00000149177	PTPRJ	30.3068009101809	1
25_Peak_660_lociStitched	chr10	104356290	104456596	25	41705	71447.9638	9749.7432	70	SUFU,ARL3,TRIM8	C10orf26,SFXN2	TRIM8	70	1	ENSG00000171206	TRIM8	51.1955553646589	1
10_Peak_7057_lociStitched	chr1	43389307	43439581	10	40122	66346.5978	4846.4136	71	FLJ32224,SLC2A1		FLJ32224	71	1	ENSG00000117394	SLC2A1	46.5211395741482	1
25_Peak_34332_lociStitched	chr12	52509489	52611818	25	43624	70279.5572	9444.9667	72	KRT80,LOC283404	C12orf44,KRT7	KRT80	72	1	ENSG00000167767	KRT80	4.93008590400794	1
20_Peak_41285_lociStitched	chr22	31602988	31689316	20	44063	69977.4768	9150.768	73	PIK3IP1,LIMK2,RNF185	MIR3928	LIMK2	73	1	ENSG00000182541	LIMK2	57.1705570670255	1
27_Peak_10836_lociStitched	chr1	9330476	9445484	27	60160	71155.4496	11086.7712	74	H6PD,SPSB1		SPSB1	74	1	ENSG00000171621	SPSB1	10.578849126461	1
28_Peak_11165_lociStitched	chr2	28806663	28919094	28	60944	71517.3591	11670.3378	75	PLB1		PPP1CB	75	1	ENSG00000213639	PPP1CB	240.855257443272	1
6_Peak_21430_lociStitched	chr1	156045826	156100821	6	28770	64789.6095	5125.534	76	MEX3A,LMNA	ROBLD3,RAB25,SEMA4A,UBQLN4	LMNA	76	1	ENSG00000160789	LMNA	177.908779312497	1
27_Peak_2543_lociStitched	chr5	131749791	131838732	27	41519	67586.2659	9152.0289	77	C5orf56,IRF1	SLC22A5,IL5,MIR3936	IRF1	77	1	ENSG00000125347	IRF1	37.9680887497992	1
Peak_2747	chr17	46685089	46704667	1	19579	59654.166	1713.075	78	HOXB8,HOXB7,HOXB9	LOC404266,HOXB3,MIR196A1,HOXB4,HOXB5,MIR10A,HOXB6	HOXB8	78	1	ENSG00000120068	HOXB8	3.78059485769788	1
Peak_227	chr17	7735840	7750005	1	14166	58991.559	1259.2685	79	DNAH2,KDM6B	LSMD1,CYB5D1,CHD3,TMEM88	KDM6B	79	1	ENSG00000132510	KDM6B	38.3597871767207	1
38_Peak_16139_lociStitched	chr14	61927773	62083471	38	50277	74735.04	17017.7914	80	PRKCH		HIF1A	80	1	ENSG00000100644	HIF1A	92.9118427972965	1
14_Peak_45439_lociStitched	chr16	70714605	70802729	14	48171	66031.3132	8345.3428	81	LOC100130894,VAC14,MTSS1L		LOC100130894	81	1	ENSG00000132613	MTSS1L	24.900983328439	2
18_Peak_27839_lociStitched	chr12	120105207	120157939	18	43243	62482.1468	5257.3804	82	CIT,PRKAB1,MIR1178		MIR1178	82	1	ENSG00000111725	PRKAB1	39.4045195619458	1
8_Peak_3844_lociStitched	chr12	120660906	120703603	8	32783	60651.0885	4299.5879	83	PXN	GCN1L1,SIRT4,RPLP0	PXN	83	1	ENSG00000089159	PXN	75.4276644226191	1
14_Peak_19638_lociStitched	chr19	4038792	4113759	14	34341	63039.7503	7031.9046	84	MAP2K2,ZBTB7A	PIAS4,CREB3L3	ZBTB7A	84	1	ENSG00000178951	ZBTB7A	62.7471928234805	1
4_Peak_23318_lociStitched	chr17	79475263	79504733	4	19442	58636.459	2764.286	85	ACTG1,FSCN2	C17orf70	FSCN2	85	1	ENSG00000184009	ACTG1	1197.638504459	1
41_Peak_20777_lociStitched	chr10	126295527	126430385	41	72987	69505.8132	13715.0586	86	FAM53B,LHPP		FAM53B	86	1	ENSG00000189319	FAM53B	26.527093593062	1
35_Peak_43634_lociStitched	chr1	41283750	41421742	35	55320	68388.8352	12722.8624	87	CITED4,KCNQ4	CTPS	CITED4	87	1	ENSG00000179862	CITED4	10.9478842392616	1
11_Peak_2663_lociStitched	chr16	66541307	66589442	11	27721	60337.2225	4967.532	88	CKLF,TK2	CMTM3,CMTM2,CMTM1,CKLF,TK2	TK2	88	1	ENSG00000166548	TK2	23.4661925458363	1
17_Peak_12609_lociStitched	chr19	18570759	18633094	17	46519	61250.371	5977.9265	89	ELL	UBA52,ISYNA1,C19orf50,SSBP4,FKBP8	ELL	89	1	ENSG00000105656	ELL	15.2713314033453	1
16_Peak_24823_lociStitched	chr1	36808569	36887254	16	34400	62688.3395	7616.708	90	OSCP1,LSM10,STK40	C1orf113,MRPS15,FAM176B	STK40	90	1	ENSG00000196182	STK40	19.8481230029139	1
26_Peak_9454_lociStitched	chr8	101423899	101524659	26	44851	67871.936	12987.964	91		ANKRD46	ANKRD46	91	1	ENSG00000186106	ANKRD46	14.470131631458	1
28_Peak_49028_lociStitched	chr21	44752124	44890976	28	51837	67065.516	12330.0576	92	C21orf125,C21orf84,SIK1		SIK1	92	1	ENSG00000160209	PDXK	130.866202849101	3
8_Peak_735_lociStitched	chr8	55358262	55391089	8	14866	58839.1148	4123.0712	93	SOX17		SOX17	93	1	ENSG00000164736	SOX17	42.9704456391019	1
8_Peak_5041_lociStitched	chr11	1214329	1285400	8	40128	60268.208	5898.893	94	MUC5B	TOLLIP,LOC255512	MUC5B	94	1	ENSG00000117983	MUC5B	120.76242608326	1
14_Peak_12106_lociStitched	chr14	35799978	35875372	14	33703	62282.9834	7954.067	95	NFKBIA	PSMA6	NFKBIA	95	1	ENSG00000100906	NFKBIA	91.0282754423195	1
17_Peak_5073_lociStitched	chr10	80979554	81059756	17	45573	62581.6206	8324.9676	96	ZMIZ1	PPIF	PPIF	96	1	ENSG00000108179	PPIF	20.6817742192233	1
Peak_821	chr11	67034013	67060123	1	26111	56789.25	2574.446	97	ANKRD13D,ADRBK1	SSH3,LOC100130987	ANKRD13D	97	1	ENSG00000172932	ANKRD13D	38.4961627331594	1
21_Peak_31029_lociStitched	chr1	234734124	234797687	21	24315	60963.2733	6871.1603	98	IRF2BP2,NCRNA00184		NCRNA00184	98	1	ENSG00000168264	IRF2BP2	93.3315632379749	1
Peak_501	chr19	39891410	39906861	1	15452	55354.7526	1406.041	99	ZFP36,PLEKHG2	SUPT5H,RPS16,MED29,PAF1	ZFP36	99	1	ENSG00000128016	ZFP36	71.1403336376348	1
15_Peak_3274_lociStitched	chr3	5007431	5069268	15	28346	59889.1345	6128.0467	100	BHLHE40		BHLHE40	100	1	ENSG00000134107	BHLHE40	70.0664591312744	1
34_Peak_23940_lociStitched	chr16	85007818	85120808	34	52851	64607.682	10982.628	101	KIAA0513,ZDHHC7	FAM92B,LOC400548	KIAA0513	101	1	ENSG00000135709	KIAA0513	11.2215813452432	1
12_Peak_1455_lociStitched	chr17	72412530	72475604	12	30219	59005.727	5556.8194	102	GPRC5C,CD300A	GPR142	GPRC5C	102	1	ENSG00000170412	GPRC5C	48.9938118588631	1
40_Peak_76392_lociStitched	chr4	40478596	40634720	40	52505	69006.808	15628.0124	103	RBM47		RBM47	103	1	ENSG00000163694	RBM47	100.202992139688	1
