#HGSerous_561_IP Enhancers
#Created from /media/Data01/Marcos/MTF/histologies/RoseRes/HGSerous_561_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by HGSerous_561_IP.nodup.bam
#Using cutoff of 11876.6455 for Super-Enhancers
#Created on Oct 24 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	HGSerous_561_IP.nodup.bam	HGSerous_561_Input.nodup.bam	enhancerRank	isSuper
23_Peak_36_lociStitched	chr9	132140525	132264609	23	72432	170454.1908	14741.1792	1	1
38_Peak_58953_lociStitched	chr2	28807040	28992718	38	91758	170489.5396	27146.1236	2	1
20_Peak_5712_lociStitched	chr5	131744340	131842335	20	64823	141005.0055	19932.183	3	1
26_Peak_52944_lociStitched	chr15	71786231	71923227	26	87238	134776.6648	15096.9592	4	1
41_Peak_16435_lociStitched	chr11	95921347	96077463	41	98078	135430.63	17594.2732	5	1
16_Peak_24972_lociStitched	chr11	34606431	34708152	16	63371	121688.8323	11514.8172	6	1
48_Peak_8100_lociStitched	chr4	77467231	77680146	48	92934	134370.6565	24272.31	7	1
52_Peak_50663_lociStitched	chr3	107609989	107824718	52	86626	131757.7144	24457.6331	8	1
25_Peak_1919_lociStitched	chr1	27799759	27934104	25	72007	119755.133	14777.95	9	1
25_Peak_6504_lociStitched	chr1	229252611	229368855	25	57400	116522.9856	13321.5624	10	1
21_Peak_5288_lociStitched	chr20	49258121	49381517	21	66595	105997.164	13240.3908	11	1
15_Peak_10031_lociStitched	chr5	142177454	142259918	15	58518	108448.4064	16369.104	12	1
16_Peak_2776_lociStitched	chr1	201973738	202104472	16	64490	100050.7302	8628.444	13	1
43_Peak_38448_lociStitched	chr14	68925029	69155849	43	93459	106546.512	15511.104	14	1
9_Peak_30172_lociStitched	chr6	6651464	6726701	9	40805	106166.9307	15280.6347	15	1
2_Peak_5621_lociStitched	chr8	145007363	145051991	2	32945	96646.3968	7274.364	16	1
18_Peak_49844_lociStitched	chr2	47166307	47271680	18	52872	104856.6723	15805.95	17	1
27_Peak_22189_lociStitched	chr14	77466709	77594680	27	71671	97334.7426	8356.5063	18	1
21_Peak_4337_lociStitched	chr17	55937864	56035206	21	67860	95395.16	6823.6742	19	1
9_Peak_21386_lociStitched	chr1	234733329	234798192	9	30085	95381.0415	7316.5464	20	1
20_Peak_35898_lociStitched	chr3	172298183	172391066	20	55878	100387.9464	13718.8191	21	1
21_Peak_45644_lociStitched	chr20	45925013	46013450	21	40863	96237.1434	9966.8499	22	1
27_Peak_16945_lociStitched	chr11	16901626	17041660	27	59729	98962.0278	15879.8556	23	1
17_Peak_30363_lociStitched	chr2	28596180	28674781	17	39739	93275.8067	11177.0622	24	1
18_Peak_2112_lociStitched	chr2	43555056	43658541	18	60175	96365.232	14311.9755	25	1
