REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	HGSerous_561_IP.nodup.bam	HGSerous_561_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
23_Peak_36_lociStitched	chr9	132140525	132264609	23	72432	170454.1908	14741.1792	1			C9orf106	1	1	ENSG00000204054	LINC00963	118.640444822809	2
38_Peak_58953_lociStitched	chr2	28807040	28992718	38	91758	170489.5396	27146.1236	2	PPP1CB,PLB1	SPDYA	PPP1CB	2	1	ENSG00000213639	PPP1CB	240.855257443272	1
20_Peak_5712_lociStitched	chr5	131744340	131842335	20	64823	141005.0055	19932.183	3	C5orf56,IRF1	SLC22A5,IL5,MIR3936	IRF1	3	1	ENSG00000125347	IRF1	37.9680887497992	1
26_Peak_52944_lociStitched	chr15	71786231	71923227	26	87238	134776.6648	15096.9592	4	THSD4		NR2E3	4	1	ENSG00000278570	NR2E3	1.09515524008054	1
41_Peak_16435_lociStitched	chr11	95921347	96077463	41	98078	135430.63	17594.2732	5	MIR1260B,MAML2	JRKL,CCDC82	MIR1260B	5	1	ENSG00000266192	MIR1260B	0.479313907334105	1
16_Peak_24972_lociStitched	chr11	34606431	34708152	16	63371	121688.8323	11514.8172	6	EHF		EHF	6	1	ENSG00000135373	EHF	47.2711464147324	1
48_Peak_8100_lociStitched	chr4	77467231	77680146	48	92934	134370.6565	24272.31	7	SHROOM3		SHROOM3	7	1	ENSG00000138771	SHROOM3	56.8031800418651	1
52_Peak_50663_lociStitched	chr3	107609989	107824718	52	86626	131757.7144	24457.6331	8	CD47,LOC285205	LOC151658	CD47	8	1	ENSG00000196776	CD47	106.412584161159	1
25_Peak_1919_lociStitched	chr1	27799759	27934104	25	72007	119755.133	14777.95	9	WASF2,AHDC1	FGR	WASF2	9	1	ENSG00000158195	WASF2	119.250237253214	1
25_Peak_6504_lociStitched	chr1	229252611	229368855	25	57400	116522.9856	13321.5624	10		RAB4A	RAB4A	10	1	ENSG00000168118	RAB4A	17.4794067937524	1
21_Peak_5288_lociStitched	chr20	49258121	49381517	21	66595	105997.164	13240.3908	11	PARD6B	BCAS4,FAM65C	PARD6B	11	1	ENSG00000124171	PARD6B	40.4866575537177	1
15_Peak_10031_lociStitched	chr5	142177454	142259918	15	58518	108448.4064	16369.104	12	ARHGAP26		ARHGAP26	12	1	ENSG00000145819	ARHGAP26	50.2594868547476	1
16_Peak_2776_lociStitched	chr1	201973738	202104472	16	64490	100050.7302	8628.444	13	RNPEP,ARL8A,ELF3,GPR37L1	TIMM17A,PTPN7,ELF3,PTPRVP	GPR37L1	13	1	ENSG00000163435	ELF3	243.043030111608	1
43_Peak_38448_lociStitched	chr14	68925029	69155849	43	93459	106546.512	15511.104	14	RAD51L1		ZFP36L1	14	1	ENSG00000185650	ZFP36L1	374.570349120322	1
9_Peak_30172_lociStitched	chr6	6651464	6726701	9	40805	106166.9307	15280.6347	15	LY86	LY86-AS1	LY86-AS1	15	1	ENSG00000261211		1.3902355637383	1
2_Peak_5621_lociStitched	chr8	145007363	145051991	2	32945	96646.3968	7274.364	16	PLEC,PARP10,MIR661	GRINA,SPATC1	PLEC	16	1	ENSG00000178209	PLEC	392.892195636502	1
18_Peak_49844_lociStitched	chr2	47166307	47271680	18	52872	104856.6723	15805.95	17	MCFD2,TTC7A	MCFD2	MCFD2	17	1	ENSG00000180398	MCFD2	35.2330437432678	1
27_Peak_22189_lociStitched	chr14	77466709	77594680	27	71671	97334.7426	8356.5063	18	KIAA1737,C14orf4	ZDHHC22	KIAA1737	18	1	ENSG00000119669	IRF2BPL	27.3042961944847	1
21_Peak_4337_lociStitched	chr17	55937864	56035206	21	67860	95395.16	6823.6742	19	CUEDC1	MRPS23,VEZF1,SRSF1	CUEDC1	19	1	ENSG00000180891	CUEDC1	34.1576814027895	1
9_Peak_21386_lociStitched	chr1	234733329	234798192	9	30085	95381.0415	7316.5464	20	IRF2BP2,NCRNA00184		NCRNA00184	20	1	ENSG00000168264	IRF2BP2	93.3315632379749	1
20_Peak_35898_lociStitched	chr3	172298183	172391066	20	55878	100387.9464	13718.8191	21	NCEH1	NCEH1	NCEH1	21	1	ENSG00000144959	NCEH1	14.8072753609621	1
21_Peak_45644_lociStitched	chr20	45925013	46013450	21	40863	96237.1434	9966.8499	22	ZMYND8,LOC100131496	ZMYND8	ZMYND8	22	1	ENSG00000101040	ZMYND8	90.8370429689026	1
27_Peak_16945_lociStitched	chr11	16901626	17041660	27	59729	98962.0278	15879.8556	23	PLEKHA7		PLEKHA7	23	1	ENSG00000166689	PLEKHA7	31.0665307014155	1
17_Peak_30363_lociStitched	chr2	28596180	28674781	17	39739	93275.8067	11177.0622	24	FOSL2	PLB1	FOSL2	24	1	ENSG00000075426	FOSL2	164.758793831088	1
18_Peak_2112_lociStitched	chr2	43555056	43658541	18	60175	96365.232	14311.9755	25	THADA		LOC100129726	25	1	ENSG00000115970	THADA	42.1747858155528	2
28_Peak_5010_lociStitched	chr22	36715916	36815871	28	59684	90499.257	9345.7925	26	MYH9		MYH9	26	1	ENSG00000100345	MYH9	465.858773555724	1
26_Peak_27842_lociStitched	chr3	188985136	189122773	26	58828	99580.3695	20480.3856	27	TPRG1		TPRG1	27	1	ENSG00000188001	TPRG1	2.90763808329202	1
26_Peak_17066_lociStitched	chr2	161061265	161208968	26	56259	101250.4065	22790.5729	28	RBMS1	ITGB6	ITGB6	28	1	ENSG00000115221	ITGB6	11.3426318308637	1
29_Peak_36376_lociStitched	chr17	76309558	76418199	29	53868	91247.5759	12841.3662	29	SOCS3,PGS1		SOCS3	29	1	ENSG00000184557	SOCS3	54.9015144409157	1
17_Peak_3951_lociStitched	chr6	16216905	16280156	17	42507	89854.3706	12371.8956	30	GMPR		GMPR	30	1	ENSG00000137198	GMPR	23.6292049560172	1
15_Peak_69570_lociStitched	chr14	55536616	55601308	15	44256	83937.87	7239.0348	31	MAPK1IP1L,LGALS3	LGALS3,SOCS4,WDHD1	LGALS3	31	1	ENSG00000131981	LGALS3	164.045757547886	1
25_Peak_77169_lociStitched	chr8	120967858	121097517	25	54657	97905.5109	21212.2124	32	DEPDC6	COL14A1	COL14A1	32	1	ENSG00000187955	COL14A1	9.98994436832624	1
14_Peak_39047_lociStitched	chr2	66649006	66737168	14	42393	88329.5078	11893.0538	33	MEIS1		MEIS1	33	1	ENSG00000143995	MEIS1	60.6970443984811	1
33_Peak_53698_lociStitched	chr18	55843114	56016112	33	70471	95079.7008	19358.4762	34	NEDD4L	NEDD4L	NEDD4L	34	1	ENSG00000049759	NEDD4L	32.4960544961546	1
8_Peak_13028_lociStitched	chr9	135978432	136025446	8	37768	80530.2806	5712.201	35	RALGDS	CEL,CELP,GBGT1	RALGDS	35	1	ENSG00000160271	RALGDS	47.0538754055554	1
15_Peak_58020_lociStitched	chr20	30249233	30316236	15	42129	81924.5681	7397.1312	36	BCL2L1	COX4I2,TPX2	BCL2L1	36	1	ENSG00000171552	BCL2L1	52.8689294767238	1
16_Peak_9225_lociStitched	chr6	1028080	1137869	16	40551	97031.5182	22945.901	37	LOC285768		LOC285768	37	1	ENSG00000112679	DUSP22	18.7919629815617	3
17_Peak_4475_lociStitched	chr2	232461766	232552541	17	41461	83948.72	9985.25	38		C2orf57,PTMA,MIR1244-2	C2orf57	38	1	ENSG00000187514	PTMA	922.382099240683	3
20_Peak_108729_lociStitched	chr19	39125591	39227507	20	56832	84600.4716	10650.222	39	ACTN4,CAPN12,EIF3K	LGALS7,MAP4K1	ACTN4	39	1	ENSG00000130402	ACTN4	381.617471962806	1
17_Peak_421_lociStitched	chr2	43426585	43505435	17	35321	84598.165	11472.675	40	THADA,LOC100129726,ZFP36L2		LOC100129726	40	1	ENSG00000152518	ZFP36L2	193.662045632807	1
14_Peak_617_lociStitched	chr11	114011885	114070564	14	42616	78846.9723	6624.8591	41	ZBTB16		ZBTB16	41	1	ENSG00000109906	ZBTB16	3.6949109307508	1
