REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Endometrioid_381_IP.nodup.bam	Endometrioid_381_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
45_Peak_22_lociStitched	chr9	132140542	132287665	45	98472	217962.7245	13093.947	1			C9orf106	1	1	ENSG00000204054	LINC00963	118.640444822809	1
64_Peak_22445_lociStitched	chr17	75279881	75500776	64	136784	199203.111	19902.6395	2	SEPT9,MIR4316		MIR4316	2	1	ENSG00000200651		3.34917742341827	1
99_Peak_39829_lociStitched	chr5	172073911	172379064	99	131226	203598.0816	29752.4175	3	NEURL1B,ERGIC1,DUSP1	LOC100268168,RPL26L1,ATP6V0E1	DUSP1	3	1	ENSG00000120129	DUSP1	84.011140922401	1
123_Peak_47766_lociStitched	chr2	43130234	43506380	123	143793	198153.7128	34793.505	4	THADA,LOC100129726,ZFP36L2		ZFP36L2	4	1	ENSG00000152518	ZFP36L2	193.662045632807	1
34_Peak_4917_lociStitched	chr2	232461889	232583826	34	62319	156493.9458	11145.0418	5	MIR1244-1,PTMA	C2orf57,PTMA,MIR1244-2	PTMA	5	1	ENSG00000187514	PTMA	922.382099240683	1
71_Peak_26990_lociStitched	chr14	77370502	77591923	71	82205	146093.5758	20060.7426	6	KIAA1737,C14orf4	ZDHHC22	C14orf4	6	1	ENSG00000119669	IRF2BPL	27.3042961944847	1
38_Peak_41890_lociStitched	chr9	130247444	130371055	38	70967	133648.2132	11335.1287	7	LRSAM1,FAM129B	LRSAM1,RPL12,SNORA65,STXBP1	FAM129B	7	1	ENSG00000136830	FAM129B	92.1813888476543	1
37_Peak_5083_lociStitched	chr17	55937464	56043676	37	69657	130725.7296	9760.8828	8	CUEDC1	MRPS23,VEZF1,SRSF1	CUEDC1	8	1	ENSG00000180891	CUEDC1	34.1576814027895	1
45_Peak_1649_lociStitched	chr10	73979860	74108502	45	67345	128384.716	11564.9158	9	DDIT4,DNAJB12,ANAPC16	ASCC1,DNAJB12	DDIT4	9	1	ENSG00000168209	DDIT4	40.8140812876661	1
Peak_570	chr19	1243463	1272539	1	29077	118696.9548	2747.682	10	C19orf23,CIRBP,ATP5D,MIDN	ATP5D,STK11,C19orf26,EFNA2,C19orf24	MIDN	10	1	ENSG00000167470	MIDN	95.6445804153529	1
65_Peak_140883_lociStitched	chr7	73807273	74087506	65	88415	138294.9855	24212.1312	11	GTF2I,CLIP2,GTF2IRD1	GTF2I	GTF2IRD1	11	1	ENSG00000006704	GTF2IRD1	28.601347575071	1
77_Peak_51704_lociStitched	chr18	46345007	46553408	77	97474	131834.4726	19318.7727	12	SMAD7,KIAA0427		SMAD7	12	1	ENSG00000101665	SMAD7	5.30333445315953	1
