REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	ClearCell_3547_IP.nodup.bam	ClearCell_3547_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
93_Peak_54347_lociStitched	chr8	142014139	142323214	93	119944	261044.745	50008.335	1	DENND3,SLC45A4	PTK2,LOC731779	DENND3	1	1	ENSG00000022567	SLC45A4	45.0961710860966	1
60_Peak_29940_lociStitched	chr17	76246763	76418099	60	92706	225443.9088	24398.2464	2	SOCS3,PGS1	BIRC5,EPR1,LOC283999	SOCS3	2	1	ENSG00000184557	SOCS3	54.9015144409157	1
65_Peak_138256_lociStitched	chr5	172140476	172381699	65	113262	209622.787	28367.8248	3	ERGIC1,DUSP1	LOC100268168,RPL26L1,ATP6V0E1	ERGIC1	3	1	ENSG00000113719	ERGIC1	182.15930024593	1
26_Peak_106114_lociStitched	chr9	132164523	132269901	26	73516	189048.132	9294.3396	4			C9orf106	4	1	ENSG00000204054	LINC00963	118.640444822809	2
19_Peak_60705_lociStitched	chr8	144976918	145057396	19	46143	189260.1126	12111.939	5	PLEC,PARP10,MIR661	GRINA,SPATC1,EPPK1	PLEC	5	1	ENSG00000178209	PLEC	392.892195636502	1
63_Peak_10595_lociStitched	chr17	75265891	75496077	63	100911	208249.2742	33100.7468	6	SEPT9,MIR4316		SEPT9	6	1	ENSG00000184640	SEPT9	174.507218347983	1
25_Peak_3086_lociStitched	chr17	48960953	49034659	25	52526	156632.6206	11638.1774	7		WFIKKN2,TOB1	TOB1	7	1	ENSG00000141232	TOB1	56.6212575687088	1
55_Peak_14931_lociStitched	chr17	57824578	57936777	55	61894	154060.4469	16459.5933	8	MIR21,TMEM49	PTRH2,RPS6KB1,TUBD1	MIR21	8	1	ENSG00000199004	NA	0.639508359319616	1
Peak_60	chr17	73071643	73102365	1	30723	131127.6404	4758.8378	9	SLC16A5	ARMC7,ATP5H,NT5C,HN1,KCTD2	SLC16A5	9	1	ENSG00000170190	SLC16A5	20.9385163487776	1
25_Peak_12173_lociStitched	chr2	43384891	43478896	25	50604	134878.374	11101.9905	10	THADA,LOC100129726,ZFP36L2		ZFP36L2	10	1	ENSG00000152518	ZFP36L2	193.662045632807	1
32_Peak_10308_lociStitched	chr17	55937798	56034217	32	51109	131341.9618	14414.6405	11	CUEDC1	MRPS23,VEZF1	CUEDC1	11	1	ENSG00000180891	CUEDC1	34.1576814027895	1
Peak_121	chr19	1244029	1272520	1	28492	117177.7848	3042.8388	12	C19orf23,CIRBP,ATP5D,MIDN	ATP5D,STK11,C19orf26,EFNA2,C19orf24	MIDN	12	1	ENSG00000167470	MIDN	95.6445804153529	1
36_Peak_31606_lociStitched	chr19	39122754	39228419	36	82226	123902.779	10513.6675	13	ACTN4,CAPN12,EIF3K	LGALS7,MAP4K1	ACTN4	13	1	ENSG00000130402	ACTN4	381.617471962806	1
9_Peak_443_lociStitched	chr22	50319458	50364281	9	36248	113774.2209	4146.1275	14	CRELD2,PIM3	CRELD2,ALG12	PIM3	14	1	ENSG00000198355	PIM3	31.4552921734244	1
100_Peak_9998_lociStitched	chr8	30239294	30427564	100	90591	131901.962	24380.965	15	RBPMS		RBPMS	15	1	ENSG00000157110	RBPMS	36.8412424390649	1
23_Peak_34276_lociStitched	chr19	13249451	13327006	23	41817	114975.2875	8406.962	16	CACNA1A,STX10,NACC1,IER2	TRMT1,LYL1	IER2	16	1	ENSG00000160888	IER2	73.6196528020863	1
Peak_95	chr17	48120567	48144140	1	23574	103308.6725	3406.2985	17	ITGA3	DLX3,PDK2	ITGA3	17	1	ENSG00000005884	ITGA3	99.8027087649576	1
64_Peak_90946_lociStitched	chr6	7100261	7282802	64	66006	117556.404	18126.3213	18	RREB1,SSR1	RREB1	RREB1	18	1	ENSG00000124782	RREB1	80.6283453785879	1
55_Peak_21953_lociStitched	chr22	36718045	36868596	55	86002	113771.3907	15024.9898	19	MYH9,TXN2	FOXRED2	MYH9	19	1	ENSG00000100345	MYH9	465.858773555724	1
31_Peak_1546_lociStitched	chr10	74002290	74100765	31	56574	109090.605	10911.03	20	DDIT4,DNAJB12	ANAPC16,ASCC1,DNAJB12	DDIT4	20	1	ENSG00000168209	DDIT4	40.8140812876661	1
28_Peak_85247_lociStitched	chr10	134201237	134295649	28	43706	108045.0928	10026.5544	21	C10orf91,PWWP2B		C10orf91	21	1	ENSG00000171813	PWWP2B	11.7718960280876	1
15_Peak_51159_lociStitched	chr14	69216271	69291812	15	35612	104934.0031	7946.9132	22	C14orf181,ZFP36L1		ZFP36L1	22	1	ENSG00000185650	ZFP36L1	374.570349120322	1
21_Peak_6862_lociStitched	chr17	78991679	79076270	21	48345	107853.525	12198.0222	23	BAIAP2,FLJ90757	MIR1250,MIR657,CHMP6,MIR3065,MIR338	BAIAP2	23	1	ENSG00000175866	BAIAP2	28.0539533631079	1
28_Peak_59441_lociStitched	chr10	3783625	3872406	28	37449	104237.7721	10200.9369	24	KLF6	KLF6	KLF6	24	1	ENSG00000067082	KLF6	220.962320472183	1
19_Peak_80250_lociStitched	chr17	72405405	72459792	19	33937	101518.7742	8103.663	25	GPRC5C	GPR142,CD300A,BTBD17	GPRC5C	25	1	ENSG00000170412	GPRC5C	48.9938118588631	1
33_Peak_52817_lociStitched	chr14	77461688	77591670	33	38566	102958.7422	13960.0668	26	KIAA1737,C14orf4	ZDHHC22	C14orf4	26	1	ENSG00000119669	IRF2BPL	27.3042961944847	1
