#ClearCell_3547_IP Enhancers
#Created from /media/abraaodem/Data01/Marcos/MTF/histologies/RoseRes/ClearCell_3547_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by ClearCell_3547_IP.nodup.bam
#Using cutoff of 14431.0212 for Super-Enhancers
#Created on Oct 18 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	ClearCell_3547_IP.nodup.bam	ClearCell_3547_Input.nodup.bam	enhancerRank	isSuper
93_Peak_54347_lociStitched	chr8	142014139	142323214	93	119944	261044.745	50008.335	1	1
60_Peak_29940_lociStitched	chr17	76246763	76418099	60	92706	225443.9088	24398.2464	2	1
65_Peak_138256_lociStitched	chr5	172140476	172381699	65	113262	209622.787	28367.8248	3	1
26_Peak_106114_lociStitched	chr9	132164523	132269901	26	73516	189048.132	9294.3396	4	1
19_Peak_60705_lociStitched	chr8	144976918	145057396	19	46143	189260.1126	12111.939	5	1
63_Peak_10595_lociStitched	chr17	75265891	75496077	63	100911	208249.2742	33100.7468	6	1
25_Peak_3086_lociStitched	chr17	48960953	49034659	25	52526	156632.6206	11638.1774	7	1
55_Peak_14931_lociStitched	chr17	57824578	57936777	55	61894	154060.4469	16459.5933	8	1
Peak_60	chr17	73071643	73102365	1	30723	131127.6404	4758.8378	9	1
25_Peak_12173_lociStitched	chr2	43384891	43478896	25	50604	134878.374	11101.9905	10	1
32_Peak_10308_lociStitched	chr17	55937798	56034217	32	51109	131341.9618	14414.6405	11	1
Peak_121	chr19	1244029	1272520	1	28492	117177.7848	3042.8388	12	1
36_Peak_31606_lociStitched	chr19	39122754	39228419	36	82226	123902.779	10513.6675	13	1
9_Peak_443_lociStitched	chr22	50319458	50364281	9	36248	113774.2209	4146.1275	14	1
100_Peak_9998_lociStitched	chr8	30239294	30427564	100	90591	131901.962	24380.965	15	1
23_Peak_34276_lociStitched	chr19	13249451	13327006	23	41817	114975.2875	8406.962	16	1
Peak_95	chr17	48120567	48144140	1	23574	103308.6725	3406.2985	17	1
64_Peak_90946_lociStitched	chr6	7100261	7282802	64	66006	117556.404	18126.3213	18	1
55_Peak_21953_lociStitched	chr22	36718045	36868596	55	86002	113771.3907	15024.9898	19	1
31_Peak_1546_lociStitched	chr10	74002290	74100765	31	56574	109090.605	10911.03	20	1
28_Peak_85247_lociStitched	chr10	134201237	134295649	28	43706	108045.0928	10026.5544	21	1
15_Peak_51159_lociStitched	chr14	69216271	69291812	15	35612	104934.0031	7946.9132	22	1
21_Peak_6862_lociStitched	chr17	78991679	79076270	21	48345	107853.525	12198.0222	23	1
28_Peak_59441_lociStitched	chr10	3783625	3872406	28	37449	104237.7721	10200.9369	24	1
19_Peak_80250_lociStitched	chr17	72405405	72459792	19	33937	101518.7742	8103.663	25	1
33_Peak_52817_lociStitched	chr14	77461688	77591670	33	38566	102958.7422	13960.0668	26	1
25_Peak_25268_lociStitched	chr10	81895829	81968852	25	43826	97653.6579	8930.7129	27	1
44_Peak_52412_lociStitched	chr19	2461506	2637581	44	59198	107053.6	18347.015	28	1
15_Peak_6975_lociStitched	chr3	50263753	50313316	15	43938	94025.9673	6225.1128	29	1
23_Peak_41516_lociStitched	chr2	28599873	28675680	23	39757	96001.9848	9157.4856	30	1
15_Peak_8071_lociStitched	chr17	39803694	39848486	15	26431	92423.8128	6638.1744	31	1
36_Peak_28846_lociStitched	chr2	113943233	114047435	36	54927	97793.577	12545.9208	32	1
12_Peak_64503_lociStitched	chr11	118739805	118801516	12	29061	89888.2426	4949.2222	33	1
29_Peak_22954_lociStitched	chr20	45936298	46021074	29	46284	93168.824	8418.2568	34	1
24_Peak_132615_lociStitched	chr10	43800074	43916839	24	33400	97230.2155	13392.9455	35	1
