#Mucinous_380_IP Enhancers
#Created from /media/abraaodem/Data01/Marcos/MTF/histologies/RoseRes/Mucinous_380_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by Mucinous_380_IP.nodup.bam
#Using cutoff of 18019.456 for Super-Enhancers
#Created on Oct 18 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Mucinous_380_IP.nodup.bam	Mucinous_380_INPUT.nodup.bam	enhancerRank	isSuper
58_Peak_39459_lociStitched	chr5	172140725	172371958	58	130419	295562.0206	23562.6427	1	1
62_Peak_93686_lociStitched	chr12	124843168	125117639	62	129000	263162.7948	25114.0965	2	1
40_Peak_15070_lociStitched	chr17	75300886	75475615	40	112011	215720.4234	17123.442	3	1
68_Peak_47272_lociStitched	chr1	9288375	9543690	68	116439	211860.387	24714.492	4	1
28_Peak_58822_lociStitched	chr9	132164522	132267982	28	61284	194670.336	9787.316	5	1
39_Peak_122658_lociStitched	chr17	17565832	17697059	39	80664	187300.2971	12440.3196	6	1
17_Peak_1617_lociStitched	chr10	134188675	134281542	17	45897	181480.6914	8961.6655	7	1
37_Peak_47902_lociStitched	chr10	73979192	74108514	37	71854	182550.9352	13087.3864	8	1
72_Peak_75755_lociStitched	chr17	75091101	75286736	72	81391	172941.34	19778.6985	9	1
33_Peak_12159_lociStitched	chr17	76305048	76421877	33	70434	163887.7212	12185.2647	10	1
25_Peak_14162_lociStitched	chr9	130247483	130349160	25	65463	156724.9278	10066.023	11	1
41_Peak_54572_lociStitched	chr19	2461685	2639635	41	79990	161987.885	15908.73	12	1
7_Peak_11686_lociStitched	chr8	145001803	145053467	7	41507	148187.8512	5373.056	13	1
21_Peak_51610_lociStitched	chr8	142215278	142338249	21	51680	153504.6993	11989.6725	14	1
7_Peak_14235_lociStitched	chr22	50319060	50364897	7	36692	145335.3759	4404.9357	15	1
1_Peak_1453_lociStitched	chr14	105931167	105959028	1	27862	131910.6906	2702.517	16	1
30_Peak_5574_lociStitched	chr1	16435347	16555087	30	62992	139293.542	10896.34	17	1
30_Peak_49065_lociStitched	chr15	90542231	90650766	30	58724	138078.227	10766.672	18	1
29_Peak_27130_lociStitched	chr3	14399731	14524221	29	68691	138457.778	12461.449	19	1
28_Peak_77644_lociStitched	chr2	233923383	233995694	28	55700	131526.4779	7585.4239	20	1
46_Peak_44206_lociStitched	chr2	28539911	28693584	46	63972	138444.0057	15275.0962	21	1
33_Peak_7379_lociStitched	chr2	43383701	43504645	33	47788	134719.5216	12009.7392	22	1
Peak_573	chr19	1239392	1264200	1	24809	120708.2856	2480.8	23	1
25_Peak_1619_lociStitched	chr17	48960966	49034516	25	52431	124681.96	7457.97	24	1
24_Peak_11920_lociStitched	chr15	31616756	31698051	24	47793	125283.7245	8064.464	25	1
29_Peak_27700_lociStitched	chr19	39125489	39228435	29	72743	127333.9074	10376.9568	26	1
29_Peak_47735_lociStitched	chr1	12585024	12689968	29	55960	126226.6432	9959.1856	27	1
54_Peak_79519_lociStitched	chr9	37906155	38075774	54	87243	130827.1347	17250.2523	28	1
39_Peak_16807_lociStitched	chr14	75639640	75777930	39	49752	124862.041	14036.435	29	1
10_Peak_7370_lociStitched	chr11	118739797	118801901	10	31044	115364.3904	5812.9344	30	1
10_Peak_548_lociStitched	chr9	135978593	136036353	10	37611	112695.536	5637.376	31	1
27_Peak_40729_lociStitched	chr1	21563731	21670253	27	55074	117152.8956	10684.1566	32	1
34_Peak_1321_lociStitched	chr17	55937967	56035057	34	57797	115605.063	9631.328	33	1
28_Peak_13147_lociStitched	chr9	137215515	137380956	28	67294	119415.3138	15088.2192	34	1
15_Peak_30188_lociStitched	chr17	2249093	2323684	15	31657	109656.2291	6675.8945	35	1
34_Peak_15425_lociStitched	chr22	23521025	23649590	34	59358	114512.8455	12612.2265	36	1
35_Peak_103240_lociStitched	chr10	80826067	80955553	35	72342	115203.6942	13362.9552	37	1
5_Peak_6595_lociStitched	chr1	43389464	43433972	5	39961	105853.3764	4659.9876	38	1
24_Peak_12067_lociStitched	chr17	80787979	80878326	24	44786	109473.4599	8772.6937	39	1
55_Peak_78141_lociStitched	chr10	126276611	126430361	55	83950	116296.5	15621	40	1
10_Peak_27522_lociStitched	chr3	50250434	50311550	10	41785	106366.2864	5879.3592	41	1
19_Peak_42114_lociStitched	chr1	2159571	2263047	19	55094	108970.5756	10378.6428	42	1
Peak_170	chr17	80182739	80202077	1	19339	99565.5606	1840.9776	43	1
25_Peak_49956_lociStitched	chr19	10816069	10896099	25	52920	103982.979	8003	44	1
9_Peak_917_lociStitched	chr17	72422556	72475668	9	31977	99855.8712	4849.1256	45	1
64_Peak_120773_lociStitched	chr14	61920773	62083406	64	58019	112411.9296	18345.0024	46	1
14_Peak_293_lociStitched	chr16	66541025	66589287	14	32807	97204.4942	5202.6436	47	1
9_Peak_98898_lociStitched	chr17	38465067	38515877	9	38625	96676.187	4674.52	48	1
38_Peak_76344_lociStitched	chr14	77466510	77591953	38	40982	104381.1203	12770.0974	49	1
15_Peak_8593_lociStitched	chr5	139013616	139091624	15	42761	98734.7256	7496.5688	50	1
37_Peak_8054_lociStitched	chr17	80548666	80646767	37	47795	100788.9674	9957.2515	51	1
20_Peak_396_lociStitched	chr14	74184164	74262446	20	42459	98744.9148	8110.0152	52	1
7_Peak_56680_lociStitched	chr7	5452360	5498095	7	17511	94076.895	4120.7235	53	1
16_Peak_4143_lociStitched	chr2	232467759	232547190	16	37333	97652.4714	7704.807	54	1
18_Peak_66979_lociStitched	chr20	45923824	45991849	18	39337	96915.2175	6992.97	55	1
39_Peak_17886_lociStitched	chr2	28806913	28911395	39	56589	99905.6884	10719.8532	56	1
8_Peak_13398_lociStitched	chr3	13028048	13067876	8	32001	93002.3628	4305.4068	57	1
17_Peak_4282_lociStitched	chr10	73471020	73538255	17	44149	94613.092	6938.652	58	1
20_Peak_9017_lociStitched	chr1	201976286	202056552	20	38361	94858.3588	7223.94	59	1
19_Peak_10015_lociStitched	chr17	78991308	79072335	19	54742	94915.0278	7786.6947	60	1
51_Peak_69005_lociStitched	chr6	7112817	7282817	51	62501	104329	17408	61	1
17_Peak_75500_lociStitched	chr8	11699128	11767307	17	36685	92927.977	6933.8043	62	1
10_Peak_20715_lociStitched	chr22	50705904	50753536	10	37004	90200.7184	4234.4848	63	1
18_Peak_19104_lociStitched	chr14	69223226	69288426	18	29241	91899.4	6709.08	64	1
14_Peak_7947_lociStitched	chr16	70714421	70802686	14	45173	93631.512	8976.5505	65	1
4_Peak_3870_lociStitched	chr19	39887614	39924006	4	20792	87988.5776	3497.2712	66	1
Peak_332	chr11	67033053	67060097	1	27045	86784.196	2799.054	67	1
21_Peak_48323_lociStitched	chr19	4037673	4115837	21	34585	90529.5448	7011.3108	68	1
Peak_397	chr22	46464835	46478152	1	13318	83485.6047	1298.4075	69	1
6_Peak_72926_lociStitched	chr4	2787619	2817487	6	25834	84837.0672	3124.1928	70	1
22_Peak_31425_lociStitched	chr10	82203229	82289658	22	44856	88823.0833	8444.1133	71	1
25_Peak_191_lociStitched	chr10	104356480	104439056	25	35504	87464.4992	7770.4016	72	1
35_Peak_87646_lociStitched	chr8	142064849	142175446	35	49532	90025.958	10683.6702	73	1
25_Peak_16459_lociStitched	chr14	35799985	35876986	25	38916	87380.7348	8262.2073	74	1
14_Peak_7931_lociStitched	chr3	129293744	129364595	14	41474	85623.4335	6659.994	75	1
20_Peak_92490_lociStitched	chr1	12190449	12271599	20	48158	86327.37	7936.47	76	1
15_Peak_5343_lociStitched	chr11	64602377	64656978	15	38267	83610.5113	5290.8369	77	1
18_Peak_77_lociStitched	chr2	219136758	219198889	18	29251	84156.4395	5945.9367	78	1
32_Peak_24273_lociStitched	chr9	139405902	139520234	32	57048	88904.5632	10735.7748	79	1
45_Peak_55782_lociStitched	chr11	126180334	126311521	45	63413	89325.2283	12567.7146	80	1
10_Peak_3582_lociStitched	chr11	1223480	1284848	10	35486	80999.6232	4848.072	81	1
29_Peak_13062_lociStitched	chr1	207978143	208064958	29	36317	83776.475	8994.034	82	1
15_Peak_11231_lociStitched	chr1	203236460	203298834	15	29723	80618.395	6486.896	83	1
49_Peak_34391_lociStitched	chr14	70073121	70194865	49	46187	87339.1456	13233.5728	84	1
17_Peak_11420_lociStitched	chr1	22218561	22284858	17	43852	79907.7741	5993.2488	85	1
35_Peak_79560_lociStitched	chr5	131749800	131838675	35	37923	83560.275	9687.375	86	1
19_Peak_13236_lociStitched	chr1	235089817	235148900	19	33595	79968.8405	6215.5316	87	1
35_Peak_47769_lociStitched	chr1	17835939	17962253	35	52852	85602.9978	11898.7788	88	1
14_Peak_204_lociStitched	chr19	16180596	16231509	14	29168	78680.9502	5111.6652	89	1
5_Peak_1332_lociStitched	chr1	37920490	37963661	5	18059	77962.5089	4399.1249	90	1
11_Peak_3591_lociStitched	chr1	10722840	10765912	11	40759	77701.888	4182.2912	91	1
14_Peak_30618_lociStitched	chr1	156423046	156480937	14	36669	77209.2267	5511.2232	92	1
19_Peak_72372_lociStitched	chr2	235858987	235919175	19	41105	77726.7832	6048.894	93	1
39_Peak_105112_lociStitched	chr2	47181305	47314641	39	56742	83415.0016	13653.6064	94	1
43_Peak_19894_lociStitched	chr16	81465164	81617827	43	53093	85048.5573	15418.963	95	1
11_Peak_3749_lociStitched	chr9	127004639	127063305	11	37777	75215.6786	5766.8678	96	1
12_Peak_7979_lociStitched	chr3	39166486	39196545	12	24946	72225.7652	3044.9767	97	1
59_Peak_77307_lociStitched	chr11	47994889	48132067	59	55935	82924.101	13786.389	98	1
33_Peak_23723_lociStitched	chr9	134454107	134555451	33	48402	79788.1312	10833.6736	99	1
30_Peak_26372_lociStitched	chr10	79594857	79683633	30	51784	77536.9584	8691.1704	100	1
11_Peak_186_lociStitched	chr17	71257094	71309367	11	27489	73333.7917	4563.4329	101	1
16_Peak_57939_lociStitched	chr17	17394441	17473561	16	39663	76176.736	7603.432	102	1
29_Peak_16559_lociStitched	chr22	46912440	47031210	29	53637	78495.093	10641.792	103	1
29_Peak_17260_lociStitched	chr12	113630505	113714758	29	42212	76350.0686	8686.4843	104	1
7_Peak_78248_lociStitched	chr1	156060451	156101025	7	26556	70935.5242	3761.2098	105	1
12_Peak_1589_lociStitched	chr3	50609338	50670555	12	33909	72107.5043	6078.8481	106	1
10_Peak_9741_lociStitched	chr17	17710671	17754189	10	29989	70333.7916	4495.4094	107	1
30_Peak_65348_lociStitched	chr2	238557163	238653849	30	37859	75357.0684	10422.7508	108	1
10_Peak_6349_lociStitched	chr17	963435	1027146	10	27813	70317.8307	5402.6928	109	1
14_Peak_7543_lociStitched	chr19	44240403	44289713	14	28652	68826.898	4709.105	110	1
5_Peak_87318_lociStitched	chr17	79475268	79504577	5	14807	66654.5278	2576.2611	111	1
27_Peak_26772_lociStitched	chr10	5576103	5688641	27	41359	74804.0086	10837.4094	112	1
21_Peak_45109_lociStitched	chr3	5007499	5069376	21	25951	69438.3694	5779.3118	113	1
16_Peak_31064_lociStitched	chr4	2898519	2956756	16	26328	69639.8046	6074.1191	114	1
Peak_778	chr11	65182999	65193082	1	10084	64623.9636	1088.964	115	1
19_Peak_10911_lociStitched	chr3	46967098	47052106	19	38756	71491.728	8143.7664	116	1
26_Peak_91280_lociStitched	chr5	149832909	149922843	26	43713	71929.2132	8786.5518	117	1
Peak_189	chr19	13257937	13268704	1	10768	64269.2997	1144.5321	118	1
16_Peak_48174_lociStitched	chr16	85643348	85694047	16	31807	67095.0566	4684.5876	119	1
23_Peak_70122_lociStitched	chr6	6653598	6726292	23	37964	69480.9252	7211.2448	120	1
32_Peak_67905_lociStitched	chr10	6159535	6261242	32	34040	72059.4095	10058.8223	121	1
