#ClearCell_3588_IP Enhancers
#Created from /media/abraaodem/Data01/Marcos/MTF/histologies/RoseRes/ClearCell_3588_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by ClearCell_3588_IP.nodup.bam
#Using cutoff of 7474.866 for Super-Enhancers
#Created on Oct 18 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	ClearCell_3588_IP.nodup.bam	ClearCell_3588_Input.nodup.bam	enhancerRank	isSuper
151_Peak_29893_lociStitched	chr12	124779770	125123753	151	149989	201539.6397	46678.4931	1	1
254_Peak_146106_lociStitched	chr16	85159649	85708490	254	194318	197253.4554	45114.7302	2	1
103_Peak_86786_lociStitched	chr7	447517	684848	103	116208	155879.0008	29001.8482	3	1
103_Peak_37657_lociStitched	chr17	75266014	75499595	103	116130	155308.0069	28870.6116	4	1
119_Peak_11348_lociStitched	chr10	80826188	81103510	119	113993	157934.879	35136.6974	5	1
173_Peak_52096_lociStitched	chr8	143055813	143509470	173	125944	176109.6474	55618.3482	6	1
48_Peak_13622_lociStitched	chr3	13805751	13937776	48	63751	142494.5825	23276.0075	7	1
48_Peak_2678_lociStitched	chr9	132143302	132269868	48	73330	124414.378	10922.6458	8	1
125_Peak_153144_lociStitched	chr9	137098383	137445214	125	129771	127148.2446	27642.4307	9	1
84_Peak_23584_lociStitched	chr20	48830263	49052832	84	82345	129802.2408	33340.8362	10	1
121_Peak_105032_lociStitched	chr3	14317140	14647008	121	88826	150353.8344	55846.6524	11	1
59_Peak_35750_lociStitched	chr22	38600658	38751899	59	78272	107759.2125	16258.4075	12	1
145_Peak_158287_lociStitched	chr7	1881918	2213339	145	111185	127133.0956	39737.3779	13	1
59_Peak_61413_lociStitched	chr14	77376408	77534840	59	59269	101396.48	17126.4992	14	1
42_Peak_27737_lociStitched	chr7	75863937	75978163	42	45953	95824.1914	16288.6276	15	1
66_Peak_79123_lociStitched	chr17	76840036	77003229	66	68670	98682.8071	21149.8128	16	1
70_Peak_121829_lociStitched	chr7	73831522	74034143	70	52836	101411.8105	28711.3957	17	1
30_Peak_75741_lociStitched	chr3	13657849	13739381	30	40045	86423.92	13868.5932	18	1
54_Peak_81153_lociStitched	chr17	71271242	71437287	54	50744	92088.557	20340.5125	19	1
Peak_677	chr8	145005634	145029625	1	23992	74919.0948	3517.0806	20	1
80_Peak_67178_lociStitched	chr22	42663029	42849293	80	66579	92070.2952	21569.3712	21	1
94_Peak_39863_lociStitched	chr13	113312084	113572985	94	64291	96115.9284	26142.2802	22	1
61_Peak_33606_lociStitched	chr17	932422	1112035	61	60488	87130.2663	20511.8046	23	1
25_Peak_161381_lociStitched	chr17	73061206	73124967	25	36633	74861.7901	8448.3325	24	1
19_Peak_7153_lociStitched	chr2	232504716	232582902	19	30609	72439.329	8764.6506	25	1
73_Peak_43076_lociStitched	chr22	43544366	43708980	73	55583	83064.2244	19918.294	26	1
58_Peak_17866_lociStitched	chr7	2632933	2776489	58	57270	80793.3168	18633.5688	27	1
81_Peak_83238_lociStitched	chr15	67305971	67489235	81	55651	79499.9232	17721.6288	28	1
57_Peak_105458_lociStitched	chr12	125298857	125465013	57	41544	84839.2536	23860.0016	29	1
47_Peak_23332_lociStitched	chr10	82170526	82290316	47	44894	77252.571	16483.104	30	1
57_Peak_18270_lociStitched	chr12	638310	775963	57	44018	80595.8315	20606.6541	31	1
65_Peak_38232_lociStitched	chr3	13017532	13215890	65	47515	91522.3812	31757.1158	32	1
Peak_3959	chr17	79052429	79082060	1	29632	63472.5651	3843.1407	33	1
28_Peak_164647_lociStitched	chr17	2248954	2326242	28	34492	68036.6264	8826.2896	34	1
54_Peak_262608_lociStitched	chr8	141473958	141656977	54	39918	84298.5514	25183.4144	35	1
38_Peak_147215_lociStitched	chr19	13242129	13350005	38	42683	69741.834	10970.9892	36	1
41_Peak_914_lociStitched	chr17	48960920	49034386	41	41588	69124.1594	10512.9846	37	1
100_Peak_28492_lociStitched	chr9	136628341	136870166	100	70005	77311.4525	19539.46	38	1
