REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	ClearCell_3172_IP.nodup.bam	ClearCell_3172_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
67_Peak_29897_lociStitched	chr5	172139551	172366934	67	116035	192866.2606	29309.6687	1	ERGIC1,DUSP1	LOC100268168,RPL26L1,ATP6V0E1	ERGIC1	1	1	ENSG00000113719	ERGIC1	182.15930024593	1
50_Peak_21812_lociStitched	chr2	43297995	43468305	50	84249	165013.359	22497.951	2	THADA,LOC100129726,ZFP36L2		ZFP36L2	2	1	ENSG00000152518	ZFP36L2	193.662045632807	1
37_Peak_8293_lociStitched	chr2	20638916	20746572	37	64581	150955.2432	14285.9512	3	RHOB		RHOB	3	1	ENSG00000143878	RHOB	90.4709919842701	1
40_Peak_16130_lociStitched	chr2	28539606	28677362	40	69478	140428.4664	17825.6264	4	BRE,FOSL2	PLB1	FOSL2	4	1	ENSG00000075426	FOSL2	164.758793831088	1
12_Peak_89128_lociStitched	chr22	50323033	50364870	12	36176	122586.5937	5794.4245	5	PIM3	CRELD2,ALG12	PIM3	5	1	ENSG00000198355	PIM3	31.4552921734244	1
38_Peak_40944_lociStitched	chr8	134214892	134316778	38	61280	133093.6818	20000.2218	6	NDRG1,WISP1		NDRG1	6	1	ENSG00000104419	NDRG1	215.319684111787	1
27_Peak_2428_lociStitched	chr9	132164520	132270294	27	67608	115198.4634	8493.6522	7			C9orf106	7	1	ENSG00000204054	LINC00963	118.640444822809	2
32_Peak_6188_lociStitched	chr2	113938948	114047248	32	64991	116195.07	14555.52	8	LOC654433,LOC440839,PSD4,PAX8		LOC654433	8	1	ENSG00000125618	PAX8	255.079159125164	1
40_Peak_40176_lociStitched	chr17	36030172	36163330	40	53146	120188.4108	22796.6496	9	HNF1B	DDX52	HNF1B	9	1	ENSG00000275410	HNF1B	20.9507965030758	1
44_Peak_25264_lociStitched	chr10	82169802	82290605	44	71695	111960.2204	15631.9082	10	C10orf58,TSPAN14	SH2D4B	TSPAN14	10	1	ENSG00000108219	TSPAN14	118.962602892749	1
64_Peak_13311_lociStitched	chr10	6237105	6390720	64	82669	117960.9585	22903.9965	11	PFKFB3	MIR3155	PFKFB3	11	1	ENSG00000170525	PFKFB3	40.2334745792865	1
30_Peak_4517_lociStitched	chr17	48960889	49032573	30	47858	101769.7748	11455.1032	12		WFIKKN2,TOB1	TOB1	12	1	ENSG00000141232	TOB1	56.6212575687088	1
42_Peak_55732_lociStitched	chr14	77412272	77556031	42	64433	104527.1689	15008.4396	13	C14orf4	KIAA1737	C14orf4	13	1	ENSG00000119669	IRF2BPL	27.3042961944847	1
68_Peak_47192_lociStitched	chr14	61927642	62089658	68	78632	106719.9392	18421.2192	14	PRKCH		HIF1A	14	1	ENSG00000100644	HIF1A	92.9118427972965	1
16_Peak_28041_lociStitched	chr14	69213840	69291844	16	40345	91732.704	8408.8312	15	C14orf181,ZFP36L1		ZFP36L1	15	1	ENSG00000185650	ZFP36L1	374.570349120322	1
23_Peak_18809_lociStitched	chr8	134330878	134392377	23	38494	88324.8638	11838.5575	16		NDRG1	NDRG1	16	1	ENSG00000104419	NDRG1	215.319684111787	1
27_Peak_48850_lociStitched	chr20	60880936	60958224	27	45785	83208.2608	8022.4944	17	ADRM1,LAMA5	RPS21,C20orf151,ADRM1,CABLES2	LAMA5	17	1	ENSG00000130702	LAMA5	169.244292649164	1
35_Peak_11099_lociStitched	chr18	11919888	12046433	35	46104	91542.653	18273.098	18	IMPA2	MPPE1	IMPA2	18	1	ENSG00000141401	IMPA2	13.1483677728546	1
44_Peak_22990_lociStitched	chr10	80807803	80963035	44	61529	89894.8512	18317.376	19	ZMIZ1,LOC283050	LOC283050	ZMIZ1	19	1	ENSG00000108175	ZMIZ1	48.9931996842572	1
64_Peak_58168_lociStitched	chr22	36697462	36864266	64	62273	92959.8692	22335.0556	20	MYH9,TXN2	APOL1,FOXRED2	MYH9	20	1	ENSG00000100345	MYH9	465.858773555724	1
Peak_53	chr17	46680972	46698426	1	17455	71910.48	2621.5908	21	HOXB6,HOXB7,LOC404266,HOXB8	LOC404266,HOXB3,MIR196A1,HOXB4,HOXB5,HOXB9,MIR10A	HOXB7	21	1	ENSG00000260027	HOXB7	9.03200449739085	1
30_Peak_62952_lociStitched	chr20	45939220	46020985	30	46365	78347.223	10441.3905	22	ZMYND8,LOC100131496	ZMYND8	ZMYND8	22	1	ENSG00000101040	ZMYND8	90.8370429689026	1
31_Peak_22294_lociStitched	chr9	33106880	33187331	31	45768	75004.4673	11094.1929	23	B4GALT1	SMU1	B4GALT1	23	1	ENSG00000086062	B4GALT1	114.550872613194	1
50_Peak_12233_lociStitched	chr6	7100973	7292850	50	51171	87726.1644	24023.0004	24	RREB1,SSR1	RREB1	RREB1	24	1	ENSG00000124782	RREB1	80.6283453785879	1
60_Peak_73779_lociStitched	chr12	124906550	125122579	60	50595	91142.6351	28688.6512	25	NCOR2	NCOR2	NCOR2	25	1	ENSG00000196498	NCOR2	120.453952827208	1
30_Peak_74873_lociStitched	chr12	125299364	125425882	30	35951	80060.5904	17623.9574	26	UBC,SCARB1	DHX37	SCARB1	26	1	ENSG00000150991	UBC	333.878972987389	1
19_Peak_41026_lociStitched	chr17	43220741	43284060	19	23822	72424.2722	10308.3332	27	HEXIM1,ACBD4,HEXIM2	FMNL1,PLCD3,ACBD4,LOC100133991	HEXIM2	27	1	ENSG00000186834	HEXIM1	61.3371930721337	1
12_Peak_17482_lociStitched	chr11	118738800	118801787	12	33287	68095.2457	6040.4533	28	CXCR5,BCL9L	UPK2,FOXR1	CXCR5	28	1	ENSG00000186174	BCL9L	51.5099097810062	1
45_Peak_41205_lociStitched	chr22	38609843	38715643	45	51000	76218.32	14484.02	29	TMEM184B,MAFF,CSNK1E	PLA2G6,MAFF	TMEM184B	29	1	ENSG00000198792	TMEM184B	50.4379830014871	1
Peak_127	chr8	145005314	145019012	1	13699	62084.8152	2702.6154	30	PLEC	GRINA,MIR661,PARP10	PLEC	30	1	ENSG00000178209	PLEC	392.892195636502	1
34_Peak_8423_lociStitched	chr3	14443433	14533506	34	57468	66572.9543	9349.5774	31	SLC6A6,GRIP2		SLC6A6	31	1	ENSG00000131389	SLC6A6	40.2334745792865	1
43_Peak_46433_lociStitched	chr17	58582692	58660387	43	38943	69669.1065	12547.7425	32	APPBP2	PPM1D	APPBP2	32	1	ENSG00000062725	APPBP2	31.6826826033967	1
24_Peak_18800_lociStitched	chr22	45819430	45914342	24	37958	70624.0192	13638.8544	33	FBLN1,RIBC2	SMC1B	FBLN1	33	1	ENSG00000077942	FBLN1	23.9500225637038	1
39_Peak_24428_lociStitched	chr2	69947901	70043310	39	41396	68999.7888	12565.3653	34	ANXA4	GMCL1	ANXA4	34	1	ENSG00000196975	ANXA4	66.1161696193721	1
21_Peak_85769_lociStitched	chr5	1048866	1141014	21	27149	66696.7224	11260.4856	35	SLC12A7	NKD2	SLC12A7	35	1	ENSG00000113504	SLC12A7	69.7925001998584	1
20_Peak_19124_lociStitched	chr12	52509719	52580689	20	28995	64029.134	10170.001	36	KRT80	C12orf44,LOC283404,KRT7	KRT80	36	1	ENSG00000167767	KRT80	4.93008590400794	1
29_Peak_269_lociStitched	chr3	134027460	134101423	29	50793	63844.8616	10776.4091	37	AMOTL2		AMOTL2	37	1	ENSG00000114019	AMOTL2	49.6888434931615	1
16_Peak_89515_lociStitched	chr8	101472043	101523055	16	30848	62775.3672	10064.6676	38		ANKRD46	ANKRD46	38	1	ENSG00000186106	ANKRD46	14.470131631458	1
39_Peak_25008_lociStitched	chr5	95115054	95201222	39	42551	64686.3176	12089.3704	39	RHOBTB3,GLRX,C5orf27	GLRX	GLRX	39	1	ENSG00000173221	GLRX	17.4084417315438	1
28_Peak_19895_lociStitched	chr17	25853688	25937685	28	42213	63501.732	11087.604	40	KSR1	LGALS9	LGALS9	40	1	ENSG00000168961	LGALS9	22.757490319868	1
32_Peak_45932_lociStitched	chr2	43122784	43213613	32	45307	63907.2844	11807.77	41			HAAO	41	1	ENSG00000162882	HAAO	4.03168313484106	1
30_Peak_41153_lociStitched	chr6	6677411	6760225	30	40319	62773.012	11130.2016	42			LY86-AS1	42	1	ENSG00000261211		1.3902355637383	1
13_Peak_42830_lociStitched	chr7	5434107	5486218	13	22310	56378.8909	4929.7006	43	TNRC18	MIR589	TNRC18	43	1	ENSG00000182095	TNRC18	116.868664254118	1
19_Peak_28314_lociStitched	chr6	39136949	39197409	19	42745	58634.108	7436.58	44	KCNK5		KCNK5	44	1	ENSG00000164626	KCNK5	15.4879349922237	1
38_Peak_19435_lociStitched	chr15	93340757	93438245	38	34310	63084.4848	12078.7632	45	LOC100507217	MIR3175,ASB9P1,CHD2	LOC100507217	45	1	ENSG00000173575	CHD2	247.649195969917	2
