REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Mucinous_652_IP.nodup.bam	Mucinous_652_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
44_Peak_56379_lociStitched	chr5	172141523	172338899	44	114369	167651.1744	22027.1616	1	ERGIC1,DUSP1	RPL26L1,LOC100268168	ERGIC1	1	1	ENSG00000113719	ERGIC1	182.15930024593	1
49_Peak_8443_lociStitched	chr20	48803003	49012395	49	99766	127456.9104	23074.9984	2	LOC284751,CEBPB	TMEM189-UBE2V1	LOC284751	2	1	ENSG00000172216	CEBPB	24.1767622901139	1
53_Peak_25857_lociStitched	chr14	61920566	62087679	53	101454	113703.6852	18816.9238	3	PRKCH		HIF1A	3	1	ENSG00000100644	HIF1A	92.9118427972965	1
40_Peak_10526_lociStitched	chr22	36718502	36866331	40	90145	107634.2949	15522.045	4	MYH9,TXN2	FOXRED2	MYH9	4	1	ENSG00000100345	MYH9	465.858773555724	1
46_Peak_12237_lociStitched	chr6	7086430	7282831	46	84798	104308.5711	21132.7476	5	RREB1,SSR1	RREB1	RREB1	5	1	ENSG00000124782	RREB1	80.6283453785879	1
33_Peak_30019_lociStitched	chr17	75093072	75208528	33	67830	93865.728	13046.528	6	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	6	1	ENSG00000129657	SEC14L1	51.8505837874944	1
32_Peak_1325_lociStitched	chr10	73977993	74108370	32	67995	93584.6106	13441.8687	7	DDIT4,DNAJB12,ANAPC16	ASCC1,DNAJB12	DDIT4	7	1	ENSG00000168209	DDIT4	40.8140812876661	1
58_Peak_38272_lociStitched	chr4	185184967	185405750	58	74880	103216.0525	23999.1121	8	IRF2	ENPP6	IRF2	8	1	ENSG00000168310	IRF2	16.806026491713	1
25_Peak_49862_lociStitched	chr12	6291012	6390144	25	61555	84539.7696	10507.992	9	CD9	PLEKHG6	CD9	9	1	ENSG00000010278	CD9	57.4919348287287	1
25_Peak_77396_lociStitched	chr9	132164558	132264646	25	47099	83543.4536	11029.6976	10			C9orf106	10	1	ENSG00000204054	LINC00963	118.640444822809	2
21_Peak_5232_lociStitched	chr15	90686248	90777260	21	50546	82092.824	9911.2068	11	CIB1,SEMA4B	C15orf58,TTLL13,IDH2,NGRN	SEMA4B	11	1	ENSG00000185033	SEMA4B	52.8235414544374	1
21_Peak_7409_lociStitched	chr17	17575546	17657350	21	54535	80266.0848	9014.8008	12	RAI1	SMCR5	RAI1	12	1	ENSG00000108557	RAI1	35.3256518459643	1
20_Peak_53636_lociStitched	chr20	45924017	45991657	20	48822	78198.604	7406.58	13	ZMYND8,LOC100131496	ZMYND8	LOC100131496	13	1	ENSG00000267882		1.64218263588924	1
