REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	HGSerous_270_IP.nodup.bam	HGSerous_270_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
21_Peak_53302_lociStitched	chr12	6275977	6405768	21	72330	190831.7073	22830.2369	1	CD9	PLEKHG6,TNFRSF1A,VWF	CD9	1	1	ENSG00000010278	CD9	57.4919348287287	1
25_Peak_28706_lociStitched	chr9	132143482	132263421	25	67326	164196.491	12785.4974	2			C9orf106	2	1	ENSG00000204054	LINC00963	118.640444822809	2
24_Peak_19631_lociStitched	chr2	113943095	114064217	24	85340	155036.16	17732.2608	3	LOC654433,LOC440839,PSD4,PAX8		LOC654433	3	1	ENSG00000125618	PAX8	255.079159125164	1
19_Peak_53359_lociStitched	chr22	36717530	36808308	19	54760	158307.7542	21114.9628	4	MYH9		MYH9	4	1	ENSG00000100345	MYH9	465.858773555724	1
25_Peak_14259_lociStitched	chr6	13335046	13455908	25	61465	160057.5466	32294.3264	5	GFOD1	TBC1D7,C6orf114	TBC1D7	5	1	ENSG00000145979	TBC1D7	9.19819817517968	1
18_Peak_1073_lociStitched	chr1	201976154	202104882	18	72466	139283.696	12937.164	6	ARL8A,ELF3,GPR37L1	RNPEP,PTPN7,ELF3,PTPRVP	GPR37L1	6	1	ENSG00000163435	ELF3	243.043030111608	1
11_Peak_125_lociStitched	chr9	33130152	33210096	11	31337	126327.5088	22824.012	7	B4GALT1	SPINK4	B4GALT1	7	1	ENSG00000086062	B4GALT1	114.550872613194	1
14_Peak_57322_lociStitched	chr19	13132962	13210776	14	43330	112993.7094	11734.3512	8	NFIX,LYL1	NACC1,TRMT1	LYL1	8	1	ENSG00000104903	LYL1	1.08846122891499	1
35_Peak_20037_lociStitched	chr20	48803893	48965960	35	78928	117142.0276	17730.1298	9	LOC284751,CEBPB	TMEM189-UBE2V1	LOC284751	9	1	ENSG00000172216	CEBPB	24.1767622901139	1
11_Peak_10_lociStitched	chr1	150530484	150598787	11	35717	105849.1591	11563.6979	10	ADAMTSL4,MCL1,ENSA	ENSA,MIR4257,MCL1,ECM1	MCL1	10	1	ENSG00000143384	MCL1	147.30744040547	1
12_Peak_51833_lociStitched	chr19	13258057	13320790	12	31878	101150.6892	9052.3719	11	CACNA1A,STX10,IER2	TRMT1,NACC1,LYL1	IER2	11	1	ENSG00000160888	IER2	73.6196528020863	1
10_Peak_38440_lociStitched	chr7	134835370	134897821	10	30670	101576.5515	13214.6316	12	WDR91,TMEM140,C7orf49	C7orf49,STRA8	C7orf49	12	1	ENSG00000105875	WDR91	41.2621915317526	1
22_Peak_45165_lociStitched	chr19	9107076	9189748	22	51193	100231.5328	12342.9296	13		OR1M1,MUC16,OR7G2,OR7G3,OR7G1	OR1M1	13	1	ENSG00000181143	MUC16	357.528755362012	3
25_Peak_62804_lociStitched	chr1	27796626	27931468	25	64057	98879.6386	13241.4844	14	WASF2,AHDC1	FGR	WASF2	14	1	ENSG00000158195	WASF2	119.250237253214	1
18_Peak_32184_lociStitched	chr12	53260749	53346003	18	44157	95331.0228	10869.885	15	KRT18,KRT8	KRT79,KRT78	KRT8	15	1	ENSG00000170421	KRT8	560.232747258979	1
5_Peak_11318_lociStitched	chr8	55348031	55390736	5	25505	89723.205	5427.8055	16	SOX17		SOX17	16	1	ENSG00000164736	SOX17	42.9704456391019	1
13_Peak_80622_lociStitched	chr22	25506360	25561805	13	46517	90868.8105	6980.5255	17	KIAA1671	CRYBB3	CRYBB3	17	1	ENSG00000100053	CRYBB3	0.589677129027168	1
7_Peak_52028_lociStitched	chr11	65238683	65290092	7	33505	88999.2608	6256.4753	18	MALAT1	LTBP3,SCYL1,SSSCA1,MIR612,FAM89B,NEAT1	MALAT1	18	1	ENSG00000251562	MALAT1	20699.8595193961	1
11_Peak_68726_lociStitched	chr14	77463937	77534826	11	45481	88455.2942	7379.5449	19	C14orf4	KIAA1737	C14orf4	19	1	ENSG00000119669	IRF2BPL	27.3042961944847	1
9_Peak_49198_lociStitched	chr17	17579275	17670256	9	40159	91445.0031	11672.8623	20	RAI1	MIR33B,SMCR5	RAI1	20	1	ENSG00000108557	RAI1	35.3256518459643	1
22_Peak_43819_lociStitched	chr17	55937884	56034068	22	63883	86834.9152	7887.088	21	CUEDC1	MRPS23,VEZF1	CUEDC1	21	1	ENSG00000180891	CUEDC1	34.1576814027895	1
25_Peak_56849_lociStitched	chr17	76334147	76418646	25	51182	88791.5492	11618.6125	22	SOCS3,PGS1		PGS1	22	1	ENSG00000184557	SOCS3	54.9015144409157	1
7_Peak_37716_lociStitched	chr20	45941297	45991871	7	29477	83482.5018	6918.5232	23	ZMYND8,LOC100131496	ZMYND8	ZMYND8	23	1	ENSG00000101040	ZMYND8	90.8370429689026	1
20_Peak_25074_lociStitched	chr20	49260802	49382150	20	56796	89748.9808	13772.998	24	PARD6B	BCAS4,FAM65C	PARD6B	24	1	ENSG00000124171	PARD6B	40.4866575537177	1
Peak_166	chr2	177016155	177031343	1	15189	77669.9132	2130.8764	25	HOXD4,HOXD3	HOXD11,HOXD10,HOXD9,LOC401022,MIR10B,HOXD1,HOXD8	HOXD3	25	1	ENSG00000128652	HOXD3	7.75222421361868	1
21_Peak_14959_lociStitched	chr2	28833046	28942679	21	57734	86259.2444	12476.2354	26	PLB1	PPP1CB	PPP1CB	26	1	ENSG00000213639	PPP1CB	240.855257443272	1
13_Peak_7497_lociStitched	chr22	38609795	38674234	13	28263	87405.0596	15220.4918	27	TMEM184B,MAFF	PLA2G6,MAFF,CSNK1E	TMEM184B	27	1	ENSG00000198792	TMEM184B	50.4379830014871	1
9_Peak_19_lociStitched	chr17	71256620	71314417	9	26841	82401.1829	10727.1232	28	CDC42EP4,CPSF4L	C17orf80,FAM104A	CDC42EP4	28	1	ENSG00000179604	CDC42EP4	44.1146933366132	1
4_Peak_36370_lociStitched	chr19	12868181	12907673	4	19404	76590.7848	6006.7332	29	HOOK2,PRDX2,JUNB,BEST2	ASNA1,RNASEH2A,RTBDN,TNPO2,C19orf43,MAST1	HOOK2	29	1	ENSG00000095066	HOOK2	74.3572531134399	1
13_Peak_1588_lociStitched	chr17	70564686	70633813	13	34228	80982.2805	12670.9791	30	LOC100499467,FLJ26484		LOC100499467	30	1	ENSG00000227036	LINC00511	12.0247001253451	2
9_Peak_54125_lociStitched	chr3	169324490	169387623	9	27801	78101.8343	9993.9539	31	MECOM		MECOM	31	1	ENSG00000085276	MECOM	142.886357263455	1
7_Peak_38016_lociStitched	chr2	66652404	66698325	7	27667	72229.1409	4435.9686	32	MEIS1		MEIS1	32	1	ENSG00000143995	MEIS1	60.6970443984811	1
12_Peak_44518_lociStitched	chr3	193775809	193885035	12	32324	84770.2986	17301.3984	33	HES1		HES1	33	1	ENSG00000114315	HES1	57.3433053671443	1
16_Peak_42454_lociStitched	chr17	71330889	71417471	16	31884	82443.3804	15108.559	34	SDK2	CDC42EP4	CDC42EP4	34	1	ENSG00000179604	CDC42EP4	44.1146933366132	1
11_Peak_20813_lociStitched	chr1	234734136	234820164	11	29545	76306.836	9067.3512	35	IRF2BP2,NCRNA00184		NCRNA00184	35	1	ENSG00000168264	IRF2BP2	93.3315632379749	1
2_Peak_31641_lociStitched	chr10	119297268	119314215	2	14405	68784.4836	2089.5651	36	EMX2,EMX2OS	EMX2	EMX2OS	36	1	ENSG00000229847	EMX2OS	24.7107481739628	1
