#HGSerous_270_IP Enhancers
#Created from /media/Data01/Marcos/MTF/histologies/RoseRes/HGSerous_270_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by HGSerous_270_IP.nodup.bam
#Using cutoff of 12522.258 for Super-Enhancers
#Created on Oct 24 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	HGSerous_270_IP.nodup.bam	HGSerous_270_Input.nodup.bam	enhancerRank	isSuper
21_Peak_53302_lociStitched	chr12	6275977	6405768	21	72330	190831.7073	22830.2369	1	1
25_Peak_28706_lociStitched	chr9	132143482	132263421	25	67326	164196.491	12785.4974	2	1
24_Peak_19631_lociStitched	chr2	113943095	114064217	24	85340	155036.16	17732.2608	3	1
19_Peak_53359_lociStitched	chr22	36717530	36808308	19	54760	158307.7542	21114.9628	4	1
25_Peak_14259_lociStitched	chr6	13335046	13455908	25	61465	160057.5466	32294.3264	5	1
18_Peak_1073_lociStitched	chr1	201976154	202104882	18	72466	139283.696	12937.164	6	1
11_Peak_125_lociStitched	chr9	33130152	33210096	11	31337	126327.5088	22824.012	7	1
14_Peak_57322_lociStitched	chr19	13132962	13210776	14	43330	112993.7094	11734.3512	8	1
35_Peak_20037_lociStitched	chr20	48803893	48965960	35	78928	117142.0276	17730.1298	9	1
11_Peak_10_lociStitched	chr1	150530484	150598787	11	35717	105849.1591	11563.6979	10	1
12_Peak_51833_lociStitched	chr19	13258057	13320790	12	31878	101150.6892	9052.3719	11	1
10_Peak_38440_lociStitched	chr7	134835370	134897821	10	30670	101576.5515	13214.6316	12	1
22_Peak_45165_lociStitched	chr19	9107076	9189748	22	51193	100231.5328	12342.9296	13	1
25_Peak_62804_lociStitched	chr1	27796626	27931468	25	64057	98879.6386	13241.4844	14	1
18_Peak_32184_lociStitched	chr12	53260749	53346003	18	44157	95331.0228	10869.885	15	1
5_Peak_11318_lociStitched	chr8	55348031	55390736	5	25505	89723.205	5427.8055	16	1
13_Peak_80622_lociStitched	chr22	25506360	25561805	13	46517	90868.8105	6980.5255	17	1
7_Peak_52028_lociStitched	chr11	65238683	65290092	7	33505	88999.2608	6256.4753	18	1
11_Peak_68726_lociStitched	chr14	77463937	77534826	11	45481	88455.2942	7379.5449	19	1
9_Peak_49198_lociStitched	chr17	17579275	17670256	9	40159	91445.0031	11672.8623	20	1
22_Peak_43819_lociStitched	chr17	55937884	56034068	22	63883	86834.9152	7887.088	21	1
25_Peak_56849_lociStitched	chr17	76334147	76418646	25	51182	88791.5492	11618.6125	22	1
7_Peak_37716_lociStitched	chr20	45941297	45991871	7	29477	83482.5018	6918.5232	23	1
20_Peak_25074_lociStitched	chr20	49260802	49382150	20	56796	89748.9808	13772.998	24	1
