REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X20160213_ClearCell_511_IP.nodup.bam	X20160213_ClearCell_511_INPUT.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
77_Peak_53520_lociStitched	chr17	76238242	76427599	77	116038	282937.2294	27570.3792	1	SOCS3,PGS1,DNAH17	BIRC5,EPR1,LOC283999	SOCS3	1	1	ENSG00000184557	SOCS3	54.9015144409157	1
40_Peak_43836_lociStitched	chr2	113955838	114046593	40	72504	227749.6725	13876.4395	2	LOC654433,LOC440839,PSD4,PAX8		LOC654433	2	1	ENSG00000125618	PAX8	255.079159125164	1
136_Peak_55108_lociStitched	chr12	124832930	125270968	136	174667	242322.6216	34166.964	3	NCOR2,SCARB1	NCOR2	NCOR2	3	1	ENSG00000196498	NCOR2	120.453952827208	1
48_Peak_20769_lociStitched	chr20	45932228	46044758	48	74584	192685.119	14775.189	4	ZMYND8,LOC100131496	ZMYND8	ZMYND8	4	1	ENSG00000101040	ZMYND8	90.8370429689026	1
71_Peak_132190_lociStitched	chr17	75265855	75491132	71	100787	204258.6559	31065.6983	5	SEPT9,MIR4316		SEPT9	5	1	ENSG00000184640	SEPT9	174.507218347983	1
79_Peak_21112_lociStitched	chr5	172120223	172375510	79	104394	199404.6757	29715.4068	6	ERGIC1,DUSP1	LOC100268168,RPL26L1,ATP6V0E1	ERGIC1	6	1	ENSG00000113719	ERGIC1	182.15930024593	1
12_Peak_78136_lociStitched	chr8	144987623	145052572	12	43478	176940.5607	8755.1252	7	PLEC,PARP10,MIR661	GRINA,SPATC1,EPPK1	MIR661	7	1	ENSG00000178209	PLEC	392.892195636502	1
23_Peak_32825_lociStitched	chr2	43383985	43455760	23	58133	162326.34	8103.3975	8	ZFP36L2,LOC100129726		ZFP36L2	8	1	ENSG00000152518	ZFP36L2	193.662045632807	1
26_Peak_98948_lociStitched	chr9	132164521	132271424	26	64167	162032.8771	9354.0125	9			C9orf106	9	1	ENSG00000204054	LINC00963	118.640444822809	2
12_Peak_21618_lociStitched	chr11	118757991	118811055	12	31570	154060.7112	5890.104	10	CXCR5,BCL9L	UPK2,FOXR1	BCL9L	10	1	ENSG00000186174	BCL9L	51.5099097810062	1
73_Peak_39454_lociStitched	chr15	67306353	67482038	73	85092	155797.458	19571.309	11	SMAD3		SMAD3	11	1	ENSG00000166949	SMAD3	53.3746952468293	1
37_Peak_44255_lociStitched	chr8	142215308	142328644	37	56318	147665.4744	17385.7424	12	SLC45A4	GPR20,LOC731779	SLC45A4	12	1	ENSG00000022567	SLC45A4	45.0961710860966	1
17_Peak_81295_lociStitched	chr7	5419216	5478654	17	33170	135714.7854	7946.8606	13	TNRC18		TNRC18	13	1	ENSG00000182095	TNRC18	116.868664254118	1
76_Peak_25137_lociStitched	chr22	36699291	36866368	76	93972	139041.4794	12981.8829	14	MYH9,TXN2	FOXRED2	MYH9	14	1	ENSG00000100345	MYH9	465.858773555724	1
87_Peak_38326_lociStitched	chr20	48283718	48471017	87	71449	150101.4186	25023.1464	15	SLC9A8,B4GALT5		B4GALT5	15	1	ENSG00000158470	B4GALT5	47.1709450743856	1
29_Peak_19794_lociStitched	chr10	82204250	82289003	29	49432	134384.3568	9772.0209	16	TSPAN14	C10orf58,SH2D4B	TSPAN14	16	1	ENSG00000108219	TSPAN14	118.962602892749	1
Peak_1625	chr19	1236062	1272137	1	36076	120818.7825	2647.905	17	C19orf26,C19orf23,CIRBP,ATP5D,MIDN	ATP5D,STK11,EFNA2,C19orf24	MIDN	17	1	ENSG00000167470	MIDN	95.6445804153529	1
41_Peak_41785_lociStitched	chr1	21549556	21677299	41	66640	123144.252	9912.8568	18	ECE1	EIF4G3	ECE1	18	1	ENSG00000117298	ECE1	89.539295974677	1
21_Peak_64127_lociStitched	chr20	56229482	56294220	21	45760	121053.5862	8519.5208	19	PMEPA1	ZBP1	PMEPA1	19	1	ENSG00000124225	PMEPA1	30.2666404190392	1
