#Mucinous_3724_IP Enhancers
#Created from /media/abraaodem/Data01/Marcos/MTF/histologies/RoseRes/Mucinous_3724_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by Mucinous_3724_IP.nodup.bam
#Using cutoff of 10599.9215 for Super-Enhancers
#Created on Oct 18 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Mucinous_3724_IP.nodup.bam	Mucinous_3724_Input.nodup.bam	enhancerRank	isSuper
92_Peak_57954_lociStitched	chr17	75223460	75503081	92	134620	257195.3958	36378.6921	1	1
60_Peak_46581_lociStitched	chr16	88442700	88626911	60	114798	223411.1008	16671.0955	2	1
44_Peak_7274_lociStitched	chr19	39125197	39231201	44	88591	203474.678	15624.9896	3	1
209_Peak_27931_lociStitched	chr12	124778520	125285642	209	194138	227697.778	41381.1552	4	1
73_Peak_56918_lociStitched	chr7	5335145	5541836	73	67107	209357.3139	27758.6013	5	1
70_Peak_158812_lociStitched	chr9	132077040	132287502	70	77489	158414.7474	16416.036	6	1
102_Peak_17268_lociStitched	chr5	172070751	172346220	102	97960	168449.2935	29943.4803	7	1
93_Peak_9776_lociStitched	chr1	10676477	10897893	93	104929	150717.8712	20193.1392	8	1
54_Peak_8352_lociStitched	chr2	43327655	43504771	54	61715	147590.7628	19606.7412	9	1
49_Peak_322_lociStitched	chr17	48908380	49034269	49	49926	139950.8013	17536.3377	10	1
59_Peak_75773_lociStitched	chr17	76839254	77003191	59	65361	131952.8913	21803.621	11	1
76_Peak_30891_lociStitched	chr10	80806720	80984556	76	91101	124467.4164	17676.8984	12	1
71_Peak_34836_lociStitched	chr22	36677977	36866494	71	77869	127720.2675	21227.0142	13	1
35_Peak_95940_lociStitched	chr4	1745488	1868485	35	65372	118310.8143	11820.0117	14	1
155_Peak_138336_lociStitched	chr16	85110643	85526699	155	120743	145786.0224	39566.9256	15	1
27_Peak_22754_lociStitched	chr17	77881672	77984418	27	55666	118538.0602	13644.6688	16	1
10_Peak_46995_lociStitched	chr22	50321579	50364860	10	37770	108791.1216	4431.9744	17	1
29_Peak_57023_lociStitched	chr18	19743889	19835844	29	27483	119421.9585	15292.1165	18	1
37_Peak_22226_lociStitched	chr7	5565672	5677764	37	43818	114322.6308	15659.2524	19	1
43_Peak_30929_lociStitched	chr17	48666042	48781739	43	57823	111589.7565	15410.8404	20	1
17_Peak_31591_lociStitched	chr15	96864114	96909988	17	27301	101289.792	5151.6502	21	1
49_Peak_78744_lociStitched	chr5	139014821	139129940	49	50893	106220.3013	11638.5309	22	1
