REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	HGSerous_229_IP.nodup.bam	HGSerous_229_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
39_Peak_15552_lociStitched	chr11	95920504	96077664	39	98671	206382.512	24705.552	1	MIR1260B,MAML2	JRKL,CCDC82	MIR1260B	1	1	ENSG00000266192	MIR1260B	0.479313907334105	1
7_Peak_76_lociStitched	chr19	16177063	16238881	7	51136	177071.4792	11454.8754	2	TPM4,RAB8A	HSH2D,FLJ25328,CIB3	RAB8A	2	1	ENSG00000167460	TPM4	334.742670341799	1
16_Peak_42635_lociStitched	chr17	55935159	56035110	16	86063	173305.0389	9725.2323	3	CUEDC1	MRPS23,VEZF1,SRSF1	CUEDC1	3	1	ENSG00000180891	CUEDC1	34.1576814027895	1
20_Peak_84991_lociStitched	chr15	75395121	75518031	20	57599	177396.003	21447.795	4	C15orf39	GOLGA6C	C15orf39	4	1	ENSG00000167173	C15orf39	20.9261831752078	1
33_Peak_38_lociStitched	chr9	132143442	132267088	33	61995	166378.0576	11573.2656	5			C9orf106	5	1	ENSG00000204054	LINC00963	118.640444822809	2
25_Peak_36114_lociStitched	chr20	45886704	46021491	25	73032	167324.5818	13600.0083	6	ZMYND8,LOC100131496	ZMYND8	LOC100131496	6	1	ENSG00000267882		1.64218263588924	1
20_Peak_6794_lociStitched	chr19	13108325	13210090	20	77980	165856.597	14216.5705	7	NFIX,LYL1	GADD45GIP1,NACC1,TRMT1,DAND5	NFIX	7	1	ENSG00000008441	NFIX	56.1964046092469	1
24_Peak_46326_lociStitched	chr1	205215911	205350571	24	54767	166022.314	33584.204	8	NUAK2,TMCC2,KLHDC8A,LEMD1	LEMD1,DSTYK	NUAK2	8	1	ENSG00000162873	KLHDC8A	24.6647980697411	1
27_Peak_45058_lociStitched	chr14	77461730	77595983	27	73590	135206.1963	13156.794	9	KIAA1737,C14orf4	ZDHHC22	C14orf4	9	1	ENSG00000119669	IRF2BPL	27.3042961944847	1
26_Peak_53994_lociStitched	chr19	9096344	9190597	26	70428	134112.5937	13129.4429	10		OR1M1,MUC16,OR7G2,OR7G3,OR7G1	MUC16	10	1	ENSG00000181143	MUC16	357.528755362012	1
28_Peak_31052_lociStitched	chr5	131707294	131842245	28	73721	134208.7695	13832.4775	11	SLC22A5,C5orf56,IRF1	IL5,MIR3936	C5orf56	11	1	ENSG00000125347	IRF1	37.9680887497992	1
23_Peak_55916_lociStitched	chr1	234608455	234702241	23	58739	131319.1572	13842.8136	12	TARBP1	IRF2BP2	TARBP1	12	1	ENSG00000059588	TARBP1	36.9421360104877	1
5_Peak_22666_lociStitched	chr1	234733522	234768246	5	24820	119318.6088	5364.858	13	IRF2BP2,NCRNA00184		IRF2BP2	13	1	ENSG00000168264	IRF2BP2	93.3315632379749	1
39_Peak_1828_lociStitched	chr22	36716081	36866524	39	83485	120655.286	9071.7129	14	MYH9,TXN2	FOXRED2	MYH9	14	1	ENSG00000100345	MYH9	465.858773555724	1
12_Peak_30466_lociStitched	chr19	13253868	13321153	12	35306	119948.9695	8397.168	15	CACNA1A,STX10,IER2	TRMT1,NACC1,LYL1	IER2	15	1	ENSG00000160888	IER2	73.6196528020863	1
34_Peak_21315_lociStitched	chr14	68925498	69105594	34	82337	129218.88	18081.6384	16	RAD51L1		ZFP36L1	16	1	ENSG00000185650	ZFP36L1	374.570349120322	1
15_Peak_20326_lociStitched	chr2	232461332	232552672	15	44705	119436.184	8960.454	17		C2orf57,PTMA,MIR1244-2	C2orf57	17	1	ENSG00000187514	PTMA	922.382099240683	3
Peak_161	chr1	201454146	201478513	1	24368	114778.3168	5343.6831	18	CSRP1	RPS10P7,CSRP1,PHLDA3	CSRP1	18	1	ENSG00000159176	CSRP1	65.6861876089153	1
19_Peak_69009_lociStitched	chr15	90541229	90650951	19	47552	121791.42	19859.682	19	ZNF710,IDH2		IDH2	19	1	ENSG00000182054	IDH2	38.2285283644919	1
7_Peak_76742_lociStitched	chr15	93340484	93390738	7	28947	109925.5996	9296.99	20		LOC100507217,ASB9P1	ASB9P1	20	1	ENSG00000258527	ASB9P1	0.602950772170342	1
10_Peak_25879_lociStitched	chr18	3573825	3627494	10	34548	107499.007	7197.0129	21	FLJ35776,DLGAP1		FLJ35776	21	1	ENSG00000177337	DLGAP1-AS1	11.4284340034271	1
