#HGSerous_229_IP Enhancers
#Created from /media/Data01/Marcos/MTF/histologies/RoseRes/HGSerous_229_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by HGSerous_229_IP.nodup.bam
#Using cutoff of 14053.951 for Super-Enhancers
#Created on Oct 24 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	HGSerous_229_IP.nodup.bam	HGSerous_229_Input.nodup.bam	enhancerRank	isSuper
39_Peak_15552_lociStitched	chr11	95920504	96077664	39	98671	206382.512	24705.552	1	1
7_Peak_76_lociStitched	chr19	16177063	16238881	7	51136	177071.4792	11454.8754	2	1
16_Peak_42635_lociStitched	chr17	55935159	56035110	16	86063	173305.0389	9725.2323	3	1
20_Peak_84991_lociStitched	chr15	75395121	75518031	20	57599	177396.003	21447.795	4	1
33_Peak_38_lociStitched	chr9	132143442	132267088	33	61995	166378.0576	11573.2656	5	1
25_Peak_36114_lociStitched	chr20	45886704	46021491	25	73032	167324.5818	13600.0083	6	1
20_Peak_6794_lociStitched	chr19	13108325	13210090	20	77980	165856.597	14216.5705	7	1
24_Peak_46326_lociStitched	chr1	205215911	205350571	24	54767	166022.314	33584.204	8	1
27_Peak_45058_lociStitched	chr14	77461730	77595983	27	73590	135206.1963	13156.794	9	1
26_Peak_53994_lociStitched	chr19	9096344	9190597	26	70428	134112.5937	13129.4429	10	1
28_Peak_31052_lociStitched	chr5	131707294	131842245	28	73721	134208.7695	13832.4775	11	1
23_Peak_55916_lociStitched	chr1	234608455	234702241	23	58739	131319.1572	13842.8136	12	1
5_Peak_22666_lociStitched	chr1	234733522	234768246	5	24820	119318.6088	5364.858	13	1
39_Peak_1828_lociStitched	chr22	36716081	36866524	39	83485	120655.286	9071.7129	14	1
12_Peak_30466_lociStitched	chr19	13253868	13321153	12	35306	119948.9695	8397.168	15	1
34_Peak_21315_lociStitched	chr14	68925498	69105594	34	82337	129218.88	18081.6384	16	1
15_Peak_20326_lociStitched	chr2	232461332	232552672	15	44705	119436.184	8960.454	17	1
Peak_161	chr1	201454146	201478513	1	24368	114778.3168	5343.6831	18	1
19_Peak_69009_lociStitched	chr15	90541229	90650951	19	47552	121791.42	19859.682	19	1
7_Peak_76742_lociStitched	chr15	93340484	93390738	7	28947	109925.5996	9296.99	20	1
10_Peak_25879_lociStitched	chr18	3573825	3627494	10	34548	107499.007	7197.0129	21	1
25_Peak_46677_lociStitched	chr21	33777545	33866017	25	61821	108661.3104	8457.9232	22	1
9_Peak_64522_lociStitched	chr12	6270707	6352127	9	51525	107352.27	7620.912	23	1
25_Peak_2636_lociStitched	chr2	113939342	114049442	25	73949	108943.95	10503.54	24	1
26_Peak_50003_lociStitched	chr10	104356166	104456176	26	53210	106840.683	9680.968	25	1
13_Peak_38651_lociStitched	chr1	94508803	94585090	13	52885	101988.0903	7537.1556	26	1
17_Peak_56648_lociStitched	chr6	30778431	30870677	17	51026	106581.0284	12932.8892	27	1
11_Peak_12973_lociStitched	chr1	16459777	16514419	11	39420	98792.736	5409.558	28	1
22_Peak_4880_lociStitched	chr14	70077355	70194308	22	73891	104614.4585	12268.3697	29	1
Peak_2	chr11	65182517	65198537	1	16021	94626.936	2383.776	30	1
